d100,Entry

1,The aasimar causes flowers to bloom when they are near.
2,Babies stop crying when you get close.
3,You shine slightly when you are in combat.
4,People with the same alignment feel good near you.
5,Peoples allergies clear up near you.
6,Religious individuals seem drawn to you.
7,People with dark secrets feel faintly guilty around you.
8,Lost children often find their way to you.
9,People with traces of fiend blood start sneezing around you.
10,Hostile animals always hesitate before striking you.
11,Impurities in water clear up when you touch it.
12,When you sing a hymn a faint chorus joins you on the wind.
13,At sunrise you are surrounded by a brief translucent halo.
14,Striking you for the first time on a holy day causes a distant rumble of ominous thunder.
15,People who cheat in your presence get caught more easily.
16,Young children insist you're an angel to anyone who'll listen.
17,Three random minor miracles occur to other people every time you visit a different community.
18,Pregnant women you touch are guaranteed a healthy birth without defects.
19,"Blind people can see you, but only as a humanoid shape made of light."
20,"Once a month a near fatal accident will occur in your presence, but everyone involved will be miraculoualy unharmed."
21,You hear any sincere prayers within 300 feet of you as a gentle whisper.
22,If you hold an infant there is no force in the multiverse that can harm it while you live.
23,People tend to choke on their words in your presence if they make an intentionally mean and blasphemous statement or joke - this includes you too.
24,If you say a prayer over someone's grave you get a general sense for what plane their soul has departed.
25,When someone dies in your presence you can actually see their soul departing or being dragged into another plane.
26,"For your shadow, the area is lighter instead of darker."
27,Celestial runes glow randomly across your body.
28,"You have a peaceful, angelic presence around you, anyone close enough feels at ease and happy."
29,"If you receive chain letters, the people who sent it to you do find true love."
30,Your footsteps glow slightly behind you.
31,Dust does not settle on items you have touched or places you have sat.
32,You have never been bitten by a mosquito or a tick.
33,You can turn water into wine by breathing over it.
34,While you sleep a faint sound of music can be heard.
35,Skin glitters in the dark.
36,Food tastes better around you.
37,"Desecrated places feel hot under your feet, desecrated items are hot to the touch."
38,Tavern keepers break open their best stock whenever you enter their establishment.
39,"Your hair appears as if gravity has no effect on it, causing it to wave freely."
40,You can detect someone's current alignment by shaking their hand.
41,People who touch you get a vision of their death (or a possible scenario).
42,Your irises slightly brighten in color when in a place of worship.
43,You have no natural body hair.
44,Rain seems to run off you without actually soaking you or any items you wear.
45,You have a distinct lock of silver hair on your head.
46,Your body is minorly reflective.
47,"There is a small bird that always follows you but never approaches, filling the area with distant chirping."
48,The individual sometimes leaves angelic feathers where they have sat down.
49,"The individual sometimes seems to have a halo above their heads, floating just out of sight."
50,The individual is abhorrent to all forms of undead.
51,The individual radiates dim light in a 30 foot radius.
52,"Whenever the individual wears a cape, it will billow majestically as if caught in a wind."
53,"When the aasimar draws her weapon against a wicked foe, it ripples with light as if moments from being set aflame. If the aasimar is a sneaky sort, reflections of a tremendous shadowy thunderhead appear instead. Clashing weapons or shields with an ideological opponent causes the aasimar's weapons and gear to throw a torrent of sparks."
54,The aasimar never makes misspellings or simple grammatical mistakes in her writing ever. Her handwriting is swift yet flawless. Even the aasimar's signature is charismatic.
55,"The aasimar can instinctively tell if a written contract presented to her has deceptive intent. The aasimar notices the overall malice of the author hiding within the handwriting and parchment, but the aasimar must use her own wits to discover the precise catch."
56,"When the aasimar concentrates on a small cloud for a long time, it slowly shapes itself into a rough impression of what the aasimar desires. (Cannot be used for skywriting, the precision is too demanding.)"
57,"The aasimar has a knack with much loved heirlooms. The rust on heirloom armor simply flakes off with a little care, grandpa's broken clock starts running again with a little tinkering, and a child's ripped stuffed animal practically sews itself together."
58,"If the aasimar takes ten minutes to attune to a location where a worship service was held in the past day and night, she can hear pieces of the worship service that took place. This sense works even when the aasimar is deaf."
59,"The aasimar always includes a little mud or spit in her medical care. The healing doesn't work as well when the aasimar leaves them out, but the recipes don't perform when other people try to make them."
60,His/Her blood gives advantage to driving out demons from possessed people. It gives off a light smoking effect and visible pain by both parties.
61,They are constantly followed by a pair of mourning doves that occasionally drop berries in front of them.
62,Any silk cloth they wear for a day makes it nearly impossible to be zombified when used as a burial shroud.
63,"If they sneeze into a pure white handkerchief, they can open it to release a dove, who flies away. Sneezing into a normal handkerchief turns it pure white"
64,"If they focus, their ears are able to hear any prayer or cry for help in 100 feet, no matter the sound level or other distraction."
65,"They cry tears of blood, which paradoxically cleans any object used to wipe them away."
66,"On sunny days, they sparkle a little in the light, as if they had been dusted with glitter"
67,"People who sleep near the aasimar find that they sleep more restfully and contentedly than they have in a long, long time."
68,"Jokes they tell are just funny. No explaining it. Even the worst, most unfunny joke told by the aasimar is met by a wry chuckle."
69,"If they touch the face of a dying enemy, they get advantage on checks made to convince them to release the information the aasimar seeks."
