d100,Entry

1,An Axe-Throwing (or similar projectile) Contest. (Dexterity Check)
2,An Archery competition. The contestants are trying to shoot an apple off the head of a gnome. (Dexterity Check)
3,Raffle Lottery. 1gp to enter!
4,A great Tug of War over a pit of mud. (Strength Check)
5,"A booth disguised as a pie stall that buys and sells illegal goods (drugs, banned religious symbols, etc.)"
6,Arm Wrestling Contest. (Strength Check)
7,"A Pick Pocketing Challenge. Everyone attending the fair is given a bright piece of cloth to be put in their belt/pocket. If you keep hold of yours, you win a prize at the end of the day. If you are able to pickpocket other people's cloth, then you could win the grand prize. (Sleight of Hand Check)"
8,An ale-drinking contest. (Constitution Check)
9,"Fencing with wooden swords. Three hits, and you're out! (Standard Combat Rules)"
10,Lockpicking contest - while blindfolded! (Thieves Tools Check)
11,Rope Climbing Competition. (Dexterity or Strength Check)
12,A Log Balancing contest. The winners of the contest face off in a pool filled with water elementals. (Dexterity Check)
13,A music contest between individual performers or 'bands'. (Performance Check)
14,Bull riding contest. Stay on the longest to win! (Athletics or Strength Check)
15,A scavenger hunt. A special golden coin has been hidden somewhere on the fairgrounds. Can you find it? (Perception Check)
16,Lumberjack Games. Who is the fastest at chopping these massive logs? (Strength Check)
17,Exotic Animal Show. Come see fantastical animals from all across the realm!
18,Animal races. Which one do you bet on to win the race?
19,A man dressed in a jester costume is sitting above a dunk tank. Can you hit the target?
20,"Loose Livestock Catching (Oiled Pig, Chickens, Etc.) (Strength, Dexterity, or Animal Handling Check)"
21,Carriage Rides (for the kids)
22,Carriage Rides (romantic for couples)
23,Horse Racing. Race against some of the most experienced horse-riders in the realm! (Animal Handling Check)
24,"Gambling/Card/Dice Games. This is most likely illegal, so they take place in a closed tent in the back of the fair."
25,The Big Hammer And Bell Contest. (Strength Check)
26,House of Mirrors. Can you escape? (Perception Check)
27,Jousting on Horseback. Can you knock your opponent off their horse? (Animal Handling and Dexterity Check)
28,"Every year, a particularly skilled Minotaur makes a hedge maze. She is a gardener and spends the season making labyrinths for the townsfolks festival. There is a plate of cookies in the center, and her calf (young son) is patrolling inside to help people who become lost. The Minotaur charges 1 copper for entry, and donates the money to charity."
29,Bobbing for apples. Some apples are injected with a polymorph potion.
30,Wife/Husband-Carrying Race. (Dexterity/Strength Check)
31,Dance Competition. (Performance Check)
32,Pie Baking Competition. (Cooking Check)
33,A Popcorn/Kettlecorn Booth. Don't let it get stuck in your teeth!
34,"A Hair Braiding Booth. Any braid you like, even those fancy Elven ones!"
35,"Prize Vegetable Contests (largest pumpkin, heaviest cabbage, tastiest tomato, hottest pepper, sweetest corn, juiciest peach, etc.)"
36,"Liar's Contest: spin the wildest tale you can think of and the crowd votes on the best one based on believability, complexity and incredibility. (Bluff/Deception Check)"
37,The tent of 'long rests' in 20 minutes!
38,Prettiest Baby Pageant.
39,Deep-Fried Foods on a Stick.
40,Puppet show using Minor Illusion and Mage Hand.
41,A booth selling Potions of Thirst Quenching (water).
42,"A bored-looking devil sitting at a booth with a sign saying 'Anything you want: $Your Soul'. Be very careful here, as what he offers starts out seeming great, but eventually is just terrible."
43,A “Guess the mimic” game. Players are brought into a fake house and must determine which object is the mimic. Maybe the mimic is the house itself? (Perception Check)
44,A Guess Your Weight stand.
45,A rogue favorite; Hide and Seek competition. (Stealth Check)
46,"Cunning Linguists; replace a language at random (pick a random; non-common, language the player knows replace it randomly from a list as large as you want, if they crit, they keep their original language, if they crit fail, they lose their original language, and gain nothing)"
47,"Feat for Curse? (Your player can buy an extra feat, but they are stricken with a curse. Can be a strong curse or as simple as a new character flaw.)"
48,Greased Pole Climbing contest - there's a tree trunk liberally coated in grease and the first person to reach the top is the winner. Everyone tries to climb at the same time.
49,There is a kenku hermit from the neighboring hills who has a large wagon filled with nuts and berries. They are selling a handfull for 1 copper each.
50,There is a wizard who is running a -make your own potion- stall. The wizard will help players make any potion they want at half price.
51,"There is a beefy half orc chef selling 2gp firewater, an ale that gives +1 strength for 1d8 hours to anyone with a con modifier of +3 or higher."
52,The town guard is giving free fighting lessons for able-bodied citizens. There is a list where the festival goers write their contact information for the towns militia.
53,A gnome trinket master is making clockwork trinkets for the townsfolk.
