d100,Entry

1,"A tree stump covered in bent pennies. It looks like passers by have jammed the edges of pennies and other small coins into the cracks and bark of this large stump and bent them down to create an almost scale-effect on the bark. Over the years after the bark space ran out pennies were jammed between other pennies, and so on, growing the stump over time."
2,"The path here has been replaced with smooth stone squares alternating with squares of bare earth, grass and wildflowers in a checkerboard pattern. The whole pattern is irregular at the edges, longer but thinner than a true checkerboard."
3,"A vast collection of lamps and lanterns have been hung around the path, some along the sides in tree branches or hung from iron rods, some hanging down from above, some placed directly on the ground. No two lamps are the same, some are iron, some wood, some paper, some ornate, some elaborate, some elven, some dwarven. At night they all illuminate on their own, flicking on over the course of the sunset, in no discernible pattern."
4,"Several trees have been cut down along this trail, and their left behind stumps have been hollowed out and planted with local wildflowers and herbs. A few of them boast a single large pumpkin placed right at the stump's center with vines curled all around the roots."
5,"The path widens out into a circular clearing. At the center a raised dais fountain pours with mirror-smooth water before cascading over the edge. The water supports a single clear gazing ball, gently rotating."
6,"The trees and plants here have all been tagged or marked with small signs, in delicate calligraphy. The signs name the plants and list some common uses. The signs help anyone who is looking to improve their foraging, granting a 1D4 bonus to foraging rolls for the next week."
7,"The path intersects with a calm river where a flat disc of stone, about 10' across, is floating at the water's edge. The river is causing the stone to rotate but it is caught in place by an outcrop of rock. As the river rotates the stone disc the disc grinds out more of the rock it has caught on. It has clearly been here for years as the stone it is stuck on has a sizable divot formed from the rotation."
8,"A small mossy cottage can be seen of a branch in the trail. The cottage is made of red pine with forest green roof tiles. It's roof is a sharp steeple with a lit coppola. The cottage looks too small for anyone to really live in, perhaps enough space to keep out of any passing rain. Inside the walls of the house are completely painted with a detailed map of the area. A day's ration for two people can be found in a chest by the entrance."
9,You happen across a sheltered bench made of oak with a tall trellis supporting dense vines. There is a circle frame cut from the trellis at the back of the bench which perfectly frames a massive oak tree growing in a field to the west.
10,"From a distance it looks like this tree is radiating a bright and fiery energy along the ground. On closer inspection someone has taken the fallen leaves of the forest and arranged them around the base of a massive walnut tree so that the yellow ones are nearest to the trunk, then orange, then red, radiating out in a pattern to create the effect."
11,"Several glass windows in wooden frames have been scattered around this path, leaned against trees and laying on the ground."
12,"The path here dips down between an outcrop of stone that is densely covered in mosses and ferns. As the trail moves down, the stones raise up, towering far overhead yet still close enough to touch. At the nadir of the path a wooden bridge zigzags through two massive mossy stones. The railings of the bridge have wooden logs arranged in a fan pattern. Water drips down from the moss onto the passers of the bridge. The bridge crosses a skinny creek before the path slopes upwards again."
13,"The path happens upon a low wall made of loose stones. The wall is easy enough to hop over, but the path follows along only one side of the wall. After a few minutes of walking, a stone arched Moon Gate has been made, which the path follows through and continues onward."
14,"You come upon an oblong stone propped up vertically in the grasses. At its base, other oblong stones have been placed on the ground in a radiating sun pattern, all pointing toward the vertical stone. As the path progresses two more of these sculptures can be seen, though one of them was a great distance away from the path."
15,"Someone has built a lattice roof to cover this section of path. From it wisteria grows, hanging down fragrant purple flowers overhead. Squat square lanterns have been hung in between the flowers, but they are unlit."
16,"The base of a massive sequoia tree has been decorated with illusory butterflies, with iridescent purple wings. The butterflies are fluttering while clumped all over the bark of the tree so that the bark cannot even be seen. They only cover it in patches, with small trails of fluttering butterflies reaching up the tree trunk."
17,"The path has been lined with hanging wrought iron birdcages. The cage doors are all open and plants are growing inside, of all different types."
18,"Perfectly clear glass mushrooms have been placed throughout the forest around the trail, almost imperceptible but for their odd distortions of the soil."
19,"Several lanterns have been hung along the trail here. All of them are made of downward drooping blue leaves or flower petals, with the gently hovering lights trapped within the bundle of leaves. The leaves are wrapped with black iron which is then formed into a hook so the lanterns can be easily hung from above."
20,"Several logs have been placed along the trail as well as throughout the forest. The logs are cracked and the cracks have been refilled with clear resin. At night the resin glows brightly, lighting the way."
21,"In the dense forest someone has made a simple wooden frame of a house, with no walls or roof. At the center of the house they have hung a lit chandelier, and placed a lovely mahogany table with seating for eight, and a full place setting. The table, plates and chandler have become worn over time, cracked and dirty."
22,"Along this trail someone has gathered up sticks and twigs from the ground. Then, they wove the sticks together to make eight egg-shaped arches placed right over the path. The arches are about 7 feet tall, and can easily be passed through."
23,"The path rounds a hill and overlook a huge field, in the field a stepped tower ruin made of stone juts up. The tower is weathered and crumbling, and nothing can be found inside, but the sight is impressive."
24,The path leads up through a grassy steppe and up through a steep hillside. The path gives way to stone stairs. Someone has come through and taken surplus stone slabs of the same material as the staircase and placed them vertically or at odd angles to decorate the trail.
25,A small marble rotunda has been built at the edge of a river. It seats three comfortably but offers no shelter as the roof is made of latticed iron. At the center of the rotunda is a small statue of a cat holding a fish in its mouth proudly.
26,"The path crosses another, but does not directly connect as it goes under a large bridge. On the underside of the bridge someone has taken differently colored river stones and attached them to the ceiling to look like a clear night sky. Several well known constellations can be seen in their work."
27,"The path is unpaved, and generally unkempt, but you happen upon a short wide staircase, regal enough for any king. The staircase is 10 steps tall and wide enough for 5. It boasts a wide stone banister carved of marble. Carvings of plants and forest creatures decorate the sides. Someone has come through and pried all the gems from their eyes and the gold plating from the staircase in general, but the impressive stonework remains. The staircase connects to a higher portion of the path, which continues on as normal."
28,"The path begins to steepen, with roughly formed stairs leading the way. The trail takes a sharp hairpin bend to proceed. At the inner bend of their hairpin is a carefully carved statue of a woman, holding a fox in her arms. Several candles have been lit and placed all over the statue."
29,A roughly hewn ladder leads up into a whirl of sticks sitting atop a thicket. It looks almost like a massive birds nest. The inside can not be seen until you climb the ladder. Inside is a sheltered padded bed that will fit two comfortably.
30,The path passes directly through a huge tree. A set of stairs have been formed from the tree roots leading up to an open archway of bark that bisects the tree. Inside the archway many passers by have left behind graffiti.
31,"Three skinny trees have been carefully grown along the side of the path. They split from a common root and widen out to support a stone table top about 5' across. Then they grow back inward, making a triple arch over the table, before recombining at the apex and finally leafing out in a natural tree formation. The table is clear."
32,"The fencing along the side of this trail is made up of live trees, grown in such a way that they weave their trunks together. At the top of these fences the trees sprout with bright green leaves. Beyond the fence, open prairie."
33,"The path becomes grassy and well maintained, and the trees become neatly trimmed. After a mile or so of this pristine artful forest the trees give way to an open clearing with a single wooden gazebo at the center, covered in flowers in full bloom. Benches all around the gazebo have been placed to support a large audience."
34,"The path leads along a rocky creek, flowing with crisp water. After half a mile the source of the creek is found, flowing from the palm of a massive hand carved of stone. The Hand gently tips the water on top of a single juvenile tree. The stones all around the hand and water are thick with mosses."
35,"A tree along the side of the path has been grown into an unnatural pattern. The trunk has split into several branches, the outermost forming a diamond shape, and the inner ones forming 'holes' around on another in a sort of weaving pattern. The branches all recombine to form the trunk after the diamond pattern and the rest of the tree appears to be normal."
36,"The path curves around the base of a massive white wisteria tree, with dark black winding branches and brilliant streams of white flowers. Petals are gently raining all along the trail."
37,"The path gives way to a long line of wooden discs carved from tree trunks, lined end to end for at least a mile of trail."
38,"Someone has hung a pentagram made of sticks from a tree overhanging the path, and tied each point in the star with a different bundle of drying herbs."
39,"The trail curves past a waterfall before cutting up through a stone cliff. Right before the staircase begins the stone landing has been carved into a beautiful viewing point for the falls, with dwarven cut banisters."
40,"The next section of path is clearly marked, and yet anyone approaching it has the strong urge to avoid the path, feeling a mix of wonder at the forest and annoyance at the path. There is no spell forcing anyone off the trail, merely a suggestion. A plaque laid out off the trail on either side reads 'The road less traveled' Kevyn Picot. Multimedia; Forest, enchantment."
