d100,Entry

1,I am obsessed with information; even the most trivial of information could be used to turn the tide of any fight.
2,"While I am all-powerful and incredibly beautiful, I wonder often if something is wrong with me and I just don't realize it yet."
3,I appreciate being asked questions; it makes me feel smart to inform 'lesser' creatures. I'll talk about any topic I'm asked about (even if I don't actually know it)
4,"I believe anyone worshiping me hates me, anyone who hates me just doesn't know me yet."
5,I desire companionship above all else but also believe everyone is just using me for companionship.
6,Discussion of any type with anyone with less than an 18-20 INT is enraging.
7,"Combat is mundane, and the only thing that piques my interest is watching my opponents squirm. I will often unnecessarily (and perilously) extend combat to enjoy the show."
8,"I actually think the whole stigma of beholder-on-beholder racism holds our kind back, but any time I try and convince my brethren they try and kill me! I don’t think I’ll ever get through to them."
9,Obsessedly tries to make its lair luxuriously comfortable in preparation of going to sleep but always remembers one more thing to add just as it's about to fall asleep.
10,I know that any non-Beholders that oppose me are actually agents of a rival beholder. No inferior being has the capability of opposing me.
11,"I am the greatest zoologist in the world and will collect a menagerie containing a mating of every animal in the universe: rat, falcon, drown, hill giant, Illithid, etc."
12,"I am the greatest author to have ever graced parchment. You are going to listen to my reading of my 16,732 page magnum opus whether you like it or not."
13,Physical combat is for non-sentient insectsoids. I only engage in battles through games of strategy like chess.
14,"Eureka! After much contemplation, I have reached an epiphany my dim-witted brethren will never find: the smartest being is the one who knows nothing. Thus, I must know nothing. Anyone who attempts to convince or demonstrate my knowledge of anything must be destroyed."
15,"Beauty is in the eye of the beholder, right? So all other eyes are probably ugly, and really bothering you, so I'll take them off your hands (or faces). Just doing my part to make the world more beautiful."
16,"I believe that beholders are the only creatures that exist. All my minions? Polymorphed beholders, waiting to surprise me. Assassins? Illusions, constructs, or polymorphed as well. My go to test is dropping them off a cliff so they need to fly!"
17,"I speak in such annoyingly complex purple prose that every other creature can barely understand me, and I find this incredibly frustrating."
18,I speak in the native language of every creature I speak to (regardless of whether or not they speak said language) in order to show off my intellect.
19,I have used telepathy for so long that when I try to speak it comes out as bestial screams.
20,"I am constantly searching for my intellectual equal, and challenge every creature I meet to a contest of intellect with their life on the line should they lose."
21,I know that some lesser fools want to kill me. Obviously it's impossible but to avoid any risk I have created an incredibly accurate construct to act as my proxy in my primary lair that I control remotely from a separate demi-plane.
22,"They're trying to poison me! Even assassin's sent into my lair by my enemies are unsafe to eat. I can't rely on any of my underlings to bring me safe food, so I have my own carefully curated farm. With lots of traps to protect my livestock."
23,"I am far too big brained to have a physical body. I alone have transcended physical form. I am merely floating consciousness, coalesced Will. None can see me, but I can see all. What I don't see, doesn't exist. And what comes into existence is the power of my omnipotent subconscious keeping me from being bored by keeping part of my Will hidden from me. This is what happens when I discover new things. Even though it's new, I already knew it. It exists because I made it exist, I just tricked myself into forgetting. I hate that part of my all-powerfulness. I must destroy new things to teach myself a lesson."
24,"I make sure everything goes according to my plans. Enemies tripping over a rock and impaling themselves, or falling into a lava river only there for the ambiance, and missing my deviously clever traps just won't do, so I've made my lair one of the safest places in the world. Aside from the deviously clever traps, of course."
25,I am a comedy genius; the only reason one might not burst into tears at one of my jokes is due to their inferior intelligence and form being unable to comprehend the utter brilliance that is far realm humor!
26,"I take pity on those of much lower intelligence than mine (mad men, dogs, children) and keep them in my lair as pets."
27,"I am the single most, brilliant thing in existence, therefore, I am destined to conquer the realm and succeed in all things I set out to do, therefore, why bother establishing myself in a kingdom when it will inevitably come under my control?"
28,"HA! I know the true power of the world is money! Gold, silver, platinum, copper its all mine! I will slay all my enemies with the power of m... Are you looking at MY MONEY!?"
29,I am far too important to put in harm's way. I must be protected but no stupid creatures are truly trustworthy. Fortunately I can build an army. A nice protective army of steel and stone. Yes my tin men keep your master safe.
30,Of course! If I fly upside down no one will ever know I am a Beholder and I can kill them easily! I'm a genius!
31,Hmmmm. Oh yes. Don't you look scrumptious. Why if I seasoned you with devil horn powder and had nice cup of unicorn blood it would be just the most fabulous dinner.
32,"I must have an audience so they can bask in my brilliance, have they noticed that when you blow a 'C' the 7th harmonic is intensified to the third order throughout my complex. Did you not understand the music magic of my abode?"
33,"I am secretly envious of lesser of the lesser life forms because of their arms and legs. I experiment with different methods to emulate a body for myself (Telekinesis on a suit of armor, dominate person, etc.)"
34,The secrets of the universe are held within the stones beneath my floating orb body. I will become the best geologist in the realms by focusing intently on the rocks in my lair.
35,I have my slaves create puppets of lesser beholders and put on plays that end with them all realizing my superiority and declaring me supreme ruler over all beholders. I am trying to make a puppet of myself for the shows but I have yet to find a way to construct something that captures my majesty.
36,"I am aiming to become a powerful bard so that I can enchant and enslave the surface dwellers with my music, and have been kidnapping musicians to add to my orchestra. I am having a hard time finding a suitable instrument for myself to play though."
37,One of my eyestalks was blinded long ago and I am desperately trying to hide this fact.
38,"I live near a cult of mind flayers and am intrigued by the idea of a hive mind. I believe that if I could link my mind to a bunch of younger, more impressionable beholders I could form my own hive mind and our combined superior intellect would be unstoppable."
39,"Deer are beautiful, and I like beautiful things. That's why I have spent the last 50 years breeding a herd of over 200 deer in my lair."
40,"I value the unique and rare artifacts above all else, my collection is the envy of would be collectors and treasure hunters the world over. I am so proud of it I will show it off before every meal."
41,"I am a curator of the most beautiful, strange, and dangerous things in the world. None of my employees proved capable of caring for my precious possessions...so I added them to the collection."
42,"I adore riddles. Riddles are the whetstone of the mind, and mine must always remain sharp. Try your best one on me; I'm certain I'll be able to answer it. Though I must warn you; don't ask silly questions, and I won't play silly games. As long as your riddles entertain me, you may remain alive."
43,Everything needs to be clean and tidy! My home is incredibly neat and the slightest thing out of place will NOT go unnoticed.
44,"I saved the world 1,000 years ago and deserve recognition!"
45,I am overly courteous to distinguish myself from the common rabble. When others do not return my level of courtesy I fly into a rage.
46,"I was struck by lightning once, now, I have declared vengeance on the sky itself."
47,I'm Gonna Blot Out The Sun.
48,"Finally, I have found a medium Beautiful enough to carry my Visage: I'm Gonna Carve My Face in the Moon."
49,"More should know of my likeness and majesty. My minions are writers and artists, bards and singers patronized by my largeness."
50,The only being that nears me in beauty and elegance is the cat. That is why I have 150 of them.
51,Going to carve my lair into the shape of a big pinball table and roll around in it all the time.
52,I THINK DOGS SHOULD VOTE.
53,I suspect every treasure I acquire of being a magical trap planted by my enemies. Often I leave behind or even destroy items of enormous value simply because my gut tells me it'll be my undoing to keep them.
54,I am convinced that the entire world is an illusory reality created by a cruel god to observe me for his personal entertainment and that everyone except myself is in on it.
55,"I am obsessed with the concept of true randomness. I study statistics, collect polyhedral dice, and spend my free time endlessly flipping coins and recording the results; all with a neurotic resolve to prove some superficial concept of predetermination."
56,"I despise the concept of writing and fly into an incoherent rage whenever I see it, resolving to destroy any material on which there is written text."
57,"The sun is large, round, and vaguely eye-like. Obviously it is another beholder, and I must defeat it."
58,"I have devised five clever proofs for why I am god, and will explain them to you in extreme detail."
59,"Obviously got aren't as brilliant as me. It isn't your fault. I will, therefore, speak in extremely patronizing terms to you."
60,"There is only one weapon that can kill me. It's a mundane item or even a stick or rock. I have found it and keep it safe in my lair. If it is ever in my presence I am terrified and will immediately attack the bearer to kill them and recover the item. If the item so much as touches me, I will believe I've died and fall prone. I will remain as such. I'm so convinced I'm dead; I will soon become a Death Tyrant. I will then hound my killer. I will have lost my fear of the item. I will continue to stalk my killer until I am permanently dispatched. If I kill my nemesis. I will target his race of people and proceed to wipe them out of existence."
61,"My eyestalks are separate entities to my body. Each has a name and personality. Some of them I like, others I hate. I talk to them constantly and I hear them talk back. I've even had my thralls make wigs, clothes, and limbs for them. Sometimes the puppets are dead adventurers. When I talk to other beings, my eyestalks constantly interrupt and talk to the beings through my mouth, but I don't realize it."
62,"The world must know my genius, and the best way to do that is by putting on a play. I will be the main character, director, and actor for it while my minions run security."
63,"I'm actually a nice guy, but somewhere along the line I learned all my antonyms backwards, and refuse to believe I could have made such a mistake. When creatures show up in my lair and I tell them I am filled with rage at meeting them and wish only for war they keep attacking me, what jerks!"
64,I am incredibly interested in other worlds and about 3/4ths of the way through making a spelljammer. If questioned I'll discuss the subject at length.
65,I pissed off a rakshasa at some point and believe every creature that shows up in my lair is it. My anti-magic eye field should reveal it? That sounds like rakshasa talk!
66,I only want to share my poetry with the world. My poetry that causes psychic damage.
67,"To prove that beholders are the ultimate apex of creation I have been capturing creatures and putting them in competitions (gladiatorial fights, science fairs, riddle contests, etc.) then trying to cross breed the winners. I expect when I finally find the best in each category and combine them in the right order it'll make a beholder."
68,I'm not a beholder; I'm a gnome inventor piloting my beholder facsimile flying craft.
