d100,Entry

1,The cult member drops ceremonial robes that were in his backpack. This would make for a great disguise for the character that found it. What they don't know is that this robe is worn by the human sacrificer.
2,Three tomes of knowledge about the cult. Each one depicts their rituals and the meanings behind them.
3,A “holy” book holding stories about whoever or whatever the cult praises.
4,A poisoned dagger with the name of a deity on it.
5,A cursed amulet that randomly spawns in a very hostile rat.
6,A step by step guide on sacrifices.
7,A very detailed drawing of some unholy deity destroying the world.
8,A blood hawk feather. There’s dried blood on the tip.
9,A map with the location of a cult shrine.
10,"A dagger engraved with runes, detailing some aspect of the cult."
11,"A colored gem. If you find three of them, they can be combined in a special apparatus in one of the cultist's bases, to summon an appropriate monster."
12,"A tiny statue, depicting whoever the cult worships."
13,"A human organ, presumably to be used in a ritual."
14,The bleached skull of a small animal. A semiprecious gem is embedded between the skull’s eye sockets.
15,"A novel. It’s a fun, light story by a quite popular author. The cult uses it as the key to a book cipher for their secret communications."
16,A pouch of dragon scales bloodied by fresh meat.
17,A barber's kit (for keeping that scalp clean).
18,A scroll of pass-phrases for secret meetings. Dates/locations/map optional.
19,"A tattoo that falls off a dead person, and can be picked up and re-applied. It depicts the cult symbols, elemental predilection, or ancient writing."
20,A silent horned frog with no eyes (Reaching into the frog's mouth will revealed it to be a bag of holding filled with d100 loot from a cult member).
21,"A carven, hollow horn of an unknown animal, engraved with scenes of whatever the cult venerates. Blowing produces a sound like a human shriek."
22,A set of candles commonly used as part of various fell rituals.
23,"A small statuette depicting whatever the cult worships. When exposed to sunlight, it begins screaming until it is covered again."
24,A note containing the names of all party members with (LOCATION KNOWN) next to each name.
25,A bag containing the livers of several different species.
26,The talon of a phoenix.
27,The tongue of a Kenku.
28,"The crumpled, tear-stained note of a loved one, wishing the cultist farewell and asking them to forget about them. The note pleads with the cultist not to linger on the past, and instead move towards a brighter future of honesty in honor of their memory. The message ends with the writer wishing the cultist all the happiness in the world and a reminder that the writer will always love them."
29,"A religious symbol from an opposing religion, thoroughly hidden away on the cultist’s body."
30,"A grocery list with the ingredients for corned beef written on it. Scrawled down at the bottom is the secret ingredient the cultist uses to make his dish extra special, written in a code of the cultist’s own design. A successful DC 16 Intelligence check decodes the scribbling and reveals the secret ingredient to be wood shavings from the local tavern."
31,A pewter ring with gold sigils inlaid in it putting the ring on causes it to turn invisible.
32,"A false eye made of obsidian, the eye unscrews to reveal a secret compartment with small a scroll inside."
33,A folded up piece of parchment with a childs drawing of a demon.
34,A bunch of half melted candles tied together.
35,"A twine necklace with a small jar on the end of it, the jar holds a small pickeled snake."
36,"A small widdled human skull with a pair of small horns, if you ask the skull a yes or no question it will glow red or green. The colors it glows is totally unrelated to the question."
37,"A coin with an evil sigil on one side and the gead of a demon on the other, flipping it causes the holder to hear a deep evil laugh."
38,A mirror that reflects everyone as tieflings.
39,A worn romance novel about a female cultist and a demon.
40,Teeth. Hundreds and hundreds of teeth in a cloth bag.
41,A picture of the cult member's four years old daughter.
42,"An engraved silver heart-shaped locket. Inside is a tiny portait of you, as the opposite sex."
43,"A rent book, for a hostel in a suspect part of town."
44,Sketches of a friendly NPC.
45,"A feather duster, polish and a rag. (Temples to dark gods don’t clean themselves!)"
