d100,Entry

1,The character cannot turn right until the curse is lifted.
2,"Characters feet always sink at least 1 inch into any surface they walk on (the at least accounts for walking on water, as in if they try to walk on water they sink normally)"
3,"All [food] type becomes tasteless (meat, vegetables, fruit)"
4,"When the character fires a ranged weapon, the ammunition always breaks on impact (no effect on damage)"
5,"Until the curse is lifted, when the character falls to 0hp, roll a D100. If you roll equal to or below the CR of the creature that cursed you, you instantly die."
6,"A player must close every door they walk through, even if there are people behind them."
7,"A player's weapon becomes lodged inside the body of their enemy after any stab attack, a strength check (DC 15) is needed to free the weapon."
8,"A player's weapons become twice as heavy, requiring two actions to strike once, until the curse is lifted."
9,"A player is stalked by an imp, who simply follows him, saying nothing, always staring. No one else can see the imp."
10,"The player's backpack is enchanted, to always give the player an item they needed in the past, but never what they will need in the future or present."
11,"The next item the cursed player grabs is bound to them forever, they can never get rid of it."
12,"Everytime the cursed character kills someone stealthily, the slain thing lets out an incredibly loud scream that can be heard from 500 ft away, even if it wouldn't be possible for the dead thing to scream."
13,"Character takes on the appearance and smell of being undead, but isn't."
14,"Characters must only answer questions with lies, unless they are asked about the reason for their behaviour (ex: ""are you cursed?"" ""Are you lying on purpose?"") In which case they must respond in the affirmative."
15,Characters must agree to every suggestion or request made within 30 feet of them. Curse is broken after a week.
16,The cursed character takes 1 damage whenever a creature within 30 feet of them takes any damage.
17,Character cannot willingly kill/spare the life of any living creature (choose depending on character personality).
18,Character becomes incapable of visually perceiving living creatures.
19,"Characters low-light vision and high-light vision switch (i.e. sunlight is effectively dark, but can see areas in shadow as if they were brightly lit)."
20,"Roll a d100. After the amount of dies shown on dice, the character explodes for (as per a 5th level Fireball) the next time they take a long rest, then is immediately put under the effects of a Reincarnation spell. The cycle continues until a Wish spell dispels it."
21,"Character is struck with blindness, but can accurately identify objects by taste through the air up to 60 feet away."
22,Butt switches place with face. Switches every time either orifice expels any substance.
23,"Your CHA stat becomes your CHAR stat, determining your effectiveness at cooking up a mean barbeque. Reflavour spells and skill checks accordingly."
24,"When the target of the curse next goes to sleep, they dream of a burning lake. The dreams progress, becoming nightmares over time. The target instinctively becomes aware of the direction of the lake, and must save vs Wis or spend that day trying to reach the lake. The target must save every day to prevent the condition progressing, taking a penalty to mental rolls for every stage it advances. To completely recover, the target must make 3 saves in a row, if they fail a save it regresses to its initial condition, and if they fail 3 times in a row the target becomes maddened until they reach the lake. Upon reaching the lake they will see it is not engulfed in flames, and will take d6 Psychic damage for the number of days they have been affected by the urges."
25,"The first ritual performed after being cursed succeeds instantly, but when they next sleep the target must save vs. Con. If they fail, their skin dries and their body catches alight, taking d6 damage per turn. The fire can be put out by magical or mundane conventions."
26,"The cursed begins aging at 5 years an hour. When they reach 100 years, they die, and an infant crawls from their body’s clothing. It continues to age at the same rate until it reaches 20. Same character, same memories."
27,"As the curse is activated, the target's hands detach from their wrists and scuttle away, and new hands grow in their place. For the rest of the day, every time they cast a spell, the same thing happens. The hands remain animate until destroyed, and will do their best to make terrible mischief."
28,"A thunderous voice narrates everything the cursed does, says, or thinks for the next d4 hours."
29,"For the next d4 days, every time the cursed attempts to speak, including to cast a spell, they must Save vs Int or instead deliver a lengthy and discursive monologue on: 1: bean cultivation; 2: the daily schedule of an emperor who died thousands of years ago; 3: the spiritual beliefs of spiders; 4: the life cycle of the cherub; 5: the various manias, phobias, or perversions of the nearest, most powerful monarch; 6: the correct method of preparing, storing, and administering a heretofore unknown and spectacularly deadly poison; 7: the best tourist destinations in the nearest village; 8: famous fish poets; 9: the dangers of breathing; 10: the magical properties of cheese; On a repeated roll, the target must continue their lecture from where they left off before."
30,"Until the curse is lifted the character constantly sniffs and has a runny nose. Disadvantage on stealth, persuasion and deception checks."
31,"Character can not control the volume at which he speaks. Player rolls a D6 every time their character speaks, even rolls are spoken in a whisper, odd rolls are shouting."
32,Animals and children are always aware of your presence and are able to locate you without difficulty.
33,"""Curse of Popularity"" - In populated area with non-hostile NPCs, everyone knows who you are and will not leave you alone. Roll a charisma check/save (DC varies). If failed, you are viewed in an unfavorable light. If passed, you are viewed in a favorable one."
34,Everytime a player deals damage the same amount is reflected back to a random party member.
35,All food and drink consumed immediately tastes of rotten flesh a successful fortitude save of DC 15 can overcome this taste.
36,Whenever the PC comes into a hallway/corridor they are compelled to Sprint at full speed to the end. Will save to resist at DMs discretion.
37,The PC must only speak in rhyme.
38,The PC gains a new fear based on popular vote of the party until dispelled.
39,All the player's equipment glows brightly for 24 hours. All of it.
40,The player becomes magnetic.
41,It is always raining in a 5ft cube around the player. The intensity randomly varies from a drizzle to a downpour and can exist even underwater or indoors.
42,The character finds themselves unable to open any containers or doors which require a twisting motion.
43,The character perceives traps everywhere where none exist.
44,The cursed becomes lactose intolerant. Consuming any dairy leads to 1d4 hour(s) of insufferable gas & diarrhea.
45,"The player must compulsively juggle items any time the player has two or more of an object in easy reach. DC 10+the number of items being juggled Acrobatics check, or an item gets dropped, with appropriate consequences."
46,Boots squeak loudly with each step.
