d100,Entry

1,"This demon has long fangs, almost 6 inches in length. They seem to be dropping with a greenish saliva."
2,This demon has curved horns coming off the sides of it's head. They come to an almost complete circle.
3,The demons skin is devoid of pigment and has a slimy texture similar to amphibian skin. Dark blotches appear where it is hit by radiant damage.
4,The demon is covered in rock like scales that burn like coal for days after being shed.
5,The demon has multiple sets of teeth like a shark.
6,"The demon has a misshapen, vestigial, but still very angry additional head coming out of it's neck."
7,"Whenever the demon inhales, its lungs glow bright enough to be seen through it's chest."
8,The demon's skull has multiple spiky bone tumors that push up through the skin on its face.
9,The demon has an additional eyeball in the back of its mouth.
10,The demon has the symbol of a devil lord branded into its back.
11,One of the demon's limbs is replaced by a limb of a humanoid or animal from the prime material plane.
12,The demon has scars from a mind flayer's tentacles around its head.
13,"The demon has four eyes, and blinks two at a time."
14,The demon's face is twisted into an unnatural smile.
15,The demon has long bony fingers that end in sharp claws
16,The demon is constantly shedding it's skin.
17,The demon’s mouth stretches all the way around its head so that it opens up like a dustbin made of flesh.
18,The demon’s veins visibly move around under its skin.
19,The demon has moss and plants growing out of every crease.
20,"The demon's horns and claws are disconnected from their body, floating just above the place they would normally be, subtly shifting around like snakes looking for an opening to strike."
21,"The demon's form is flat and empty, like a hole in the world. All that can be seen are it's fiery eyes."
22,The demon's tail splits into a hundred barbed whips.
23,"The demon's eyes are sunken pits, filled with orbs of molten metal, constantly dripping and burning their flesh."
24,"The demon's enormous neck has a ring of regular-sized rooster heads around it. They screech and crow, drowning out anything it might say."
25,"This demon lacks a physical form entirely, and must invade a person's shadow to communicate with them."
26,"This demon's eyes change every time it blinks. Now they are slitted like a cat's eyes. blink now they empty black voids dotted with distant, dying stars. blink now they have two pupils each, which move independently from the eyeball and each other. blink now..."
27,"The demon has eyes or mouths that don't logically make sense to be there (in the stomach/neck, for instance)."
28,This demon has no reflection and doesn't cast a shadow.
29,"This demon is hard to look at. It repels your gaze like a magnet. In peripheral vision, it seems mostly human, but if you try to stare directly at it your eyes will be repelled or your eyelids will become uncomfortably heavy. Perception/Notice checks against are likely to cost a bit of Sanity."
30,This demon is covered in human genitals.
31,"This demon is a million insects beneath a cloak. From a distance it looks mostly normal, but emits an ominous low buzz and a foul smell. It can change its body shape and even its complexion so that it passes for a human under most conditions. By the time you're close enough to see that its flesh is actually a rippling swarm of beetles, moths, flies, and grubs, it's usually too late."
32,"This demon can shapeshift, but has a poor memory for numbers. For instance, it always gets something wrong about how many eyes, fingers, tongues, and more rarely arms and legs a human has."
33,"This demon is a cast iron brazier that walks around on three clawed feet. It can form a torso, head, and arms out of the hellfire that burns within."
34,This demon has no skin and secretes foul-smelling blood constantly.
35,This demon has an extra face bulging out of its body.
