d100,Entry

1,The dragonborn is covered in glimmering red scales. They seem to turn a slight orange color in the sunlight.
2,This dragonborn has several scales missing and a long gash running along his face.
3,"This dragonborn has two long, spined and membranous ears."
4,"This dragonborn has a slightly off-center snout, akin to a poorly-reset broken nose."
5,This dragonborn has two small bony nubs at their shoulder blades- vestigial wings
6,"This dragonborn has poor control over their breath weapon, and when they are agitated their nostrils and mouth crackle with lightning/exude a green gas/smoke like chimneys drip green acid/breath puffs of frosty white air."
7,This dragonborn has highly acidic saliva.
8,This dragonborn has long overly curled horns.
9,This dragonborn has a heart that glows bright enough to be seen beneath the scales.
10,This dragonborn has spines that stick out from every joint.
11,Smoke is always slowly rising from their nose and mouth.
12,This dragonborn's scales are prismatic.
13,This dragonborn has a tiny pair of unusable wings.
14,This dragonborn has 2 inch retractable nail/talons on their fingers and toes.
15,This dragonborn has eyes that change color depending on their emotions.
16,"This dragonborn appears to have had their claws torn off, so a leather bound brace of daggers serves as their replacement."
17,This dragonborn has random different colored scales glistening blue and white.
18,"This dragonborn has a crest of multicolored feathers atop it's head, resembling a hairdo."
19,"This dragonborn is branded on their forehead with a strange, unknown symbol."
20,"The dragonborn only refers to themselves by a number emblazoned on their gear (necklace, scabbard, belt, etc.)."
21,The dragonborn slurs all their S's into 'sh' sounds.
22,"The dragon's acid breath clearly went wrong, as the flesh on the right side of his face, from the middle of his neck to the top of his mouth is burned off."
23,"The dragon is missing all of it's scales, revealing the pale skin beneath. It's color is only identified by a small patch of scales on it's cheek."
24,The dragonborn has one or more hidden paths on their skin where scales never developed.
25,"This dragonborn has traces of another colour (for example, little splotches of black scales on a green dragonborn)."
26,"This dragonborn's voice seems to come from within it, rather than its lips and mouth moving when it talks."
27,This dragonborn's eyes gleam red while in combat.
28,This dragonborn is constantly drawn to live as a dragon and hoard all the loot.. for safe keeping of course.
29,This dragonborn's fangs grow in the presents of injured enemies.
30,The Dragonborn has a cracked or broken snout horn.
31,"(Insert breath weapon) often emerges in either liguid or gaseous form from nostrils when angry, depending on the breath weapon."
32,"This dragonborn has a fake, steel nose horn."
33,This dragonborn has transluscent or transparent patches of scales.
34,This dragonborn has a frill running down the chin and neck.
35,"This dragonborn has a frill running up the snout, head, and the back of the neck."
36,"This dragonborn has 3 eyelids: 2 normal ones, and a thin, almost transparent one underneath that moves in a perpendicular direction to the other two."
37,This dragonborn tends to hiss when speaking.
38,The Dragonborn has shiny blue scales. The darkness of the color is determined by the temperature.
39,"Their breath weapon is always accompanied by a horrific, sickly sweet stench."
40,They have two large (possibly colorful) frills instead of horns.
41,"They have albinism, making it hard to tell what exact kind of dragonborn they are."
42,They have a small patch of scales etched with scratches. It's become a nervous habit to trace over them or scratch even more.
43,"Their breath weapon is unusually colored (blue fire, red acid, green lightning, etc)."
44,Their horns originate in the back of their head and curl around to face forward.
45,They have ears. They look elven in nature.
46,"Their eyes have two pupils, with different colored irises."
47,"They have a habit of chewing on gemstones, jewelry, and precious metals."
48,They randomly switch into speaking Draconic and have to catch themselves.
49,"They have pits in their face instead of an actual nose, similar to a snake's."
50,"Their scales are a dull, matte color."
51,"They have 5 fingers and 5 toes, as opposed to the standard 3."
52,"They have a long, serpentine tongue."
53,"Their scales are bumpy, thick, and loose on their skin (think a gila monster)."
54,"Their scales are sleek and uniform, like a snake."
55,"Their scales are incredibly uneven. Some are huge, others are tiny. This isn't uncomfortable, just making interesting patterns on their skin."
56,This dragonborn rambles a lot - Conversations with him tend to DRAG ON.
57,This dragonborn has a third eye. Doesn't actually see but can distinguish changing levels of light above them.
58,Their mouth is brimming with bacteria that can kill in 5-7 days without treatment from a bite.
59,They have tail spikes like a stegosaurus.
