d100,Entry

1,A handful of Goodberries.
2,A large walking stick (stats like a quarterstaff) with different animals carved into it all the way up. It looks like there are a few spots in the staff that still need to be carved.
3,"A hair clip with preserved leaves, feathers, small acorns or nuts, and flowers. When you Wild Shape, it always remains clipped behind your ear."
4,"A preserved acorn on a golden chain. When planted in clean soil near running water, a half-mile wide grove of oak trees sprouts in the area in 4d4 months."
5,"A backpack with straps that are easily adjusted for different body sizes, and a clasp that can be opened by paws or teeth."
6,Silver chain that can enthrall listeners when shaken.
7,"Enchanted weapons made from bone, wood, or stone."
8,Animal figurines the size of chess pieces. Turns into the animal featured as an ally for 2d6 turns.
9,"An ashwood club tied to the elemental plan of fire. Three times a day, it may be infused with the power of this plane, doing an additional 1d8 fire damage along with club damage."
10,A bearhide which grants Wild-Shape:Bear once per day.
11,"A satchel full of a hallucinagenic powder. Can be used by smoking, adding to drink, or throwing into one's face. Grants one of the following effects: Blinded, Frightened, Exhausted, or Charmed. Only has 3 uses before the bag is empty."
12,A pouch of brightly colored pottery shards. Crows will perform small favors in exchange for a shard. Some crows like specific colors.
13,"A small hand dart, carved from mistletoe."
14,"A collection of feathers, colored stones, a red ribbon, nuts, a small piece of honeycomb, etc. They are all gifts from friends."
15,A wooden compass that always points in the direction of the nearest fresh water source.
16,Wild Root: When planted overnight near your camp it spawns thorned vines that encumber any enemies near the side of the camp you plant it on. In the morning the runners and vines dry and you can dig up the tubers for breakfast and keep a couple for the next time you go camping. The night air smells of jasmine.
17,"Moonbane Elixer: Wolfsbane essence, werecreature cerebral fluid, and a colloidal silver tincture will suppress or possibly reverse any transformation in any person suffering from lycanthropy."
18,Cersei's Taproot: A tapered quarterstaff that when pressed to a living tree trunk it sucks some sap and can be drank as a healing tonic or converted to flammable alcohol.
19,Kamahl's Claws: A bear claw necklace that gives you a +3 on attacks when in the shape of a CR1 animal or less.
20,Darkwood Orb: Druidic focus that adds an additional 1d4 necrotic damage to your offensive spells.
21,"Death Mask of the Dryad: Carved from the heartwood of an ancient Dryad's tree the profane nature of this ten-horned fetish gives you advantage against Fey. However, should a horn be planted in a Druid's Grove it grows into a new Dryad and tree, it makes that Druid's Grove permanent."
22,"A pile of carefully paper-wrapped hard candies. If eaten they tastes bitter and awful. If a piece of candy is unwrapped and planted in the ground, it will eventually grow into a candy tree. Each consecutive harvest and replanting will net progressively sweeter candy."
23,A wooden jar of black gel that smells faintly of apples. If applied onto a surface it dries to form a coating so reflective you could feasibly use it as a mirror.
24,A massive 5 foot tall piece of ancient tree bark inscribed with druidic runes that seem to predict several events that have already happened and one or two that have not. Upon closer inspection a part of the bark looks like it was recently and deliberately broken off.
25,"An intricate multi-level ant farm complete with multiple habitats, glass viewing plates, and an automated system to feed the ants at various intervals. The ants are of an exotic, possibly magical breed and seem to be building something that definitely isn't part of the farm."
26,"Gaea's Umbra: A long chord rope of simple hemp with jade end caps. It begins to glow with green Druidic letters when wrapped around a tree. A portal opens beneath the tree near the roots that acts similar to a Bag of Holding, but able to hold large amounts of bulk items like wagon wheels and even a sled or small boat comfortably. Histories seem to indicate it was once able to instantly transport large armies of Treants during the rare times Nature goes to war."
27,Breastplate of the Arch-Druid: The skill of the smiths who fashioned this out of petrified black ironwood has been lost to time. Truly a one of a kind piece of armor. The face of the Green Man is carved on the front and is said to whisper wisdom to the sleeping owner every night.
28,Emerald Nox Stone: Once placed into a necklace or ring and melded into your wildshape it adds 1d4 poison damage to your attacks. Your form has a sickly green and black aura wafting off of it.
29,"Willow Oftgütt's Troll-Mix: These trollbane acorns, once thrown, a target creature must succeed on a DC 10 Constitution saving throw. On a failed save, a target begins to turn to stone and is Restrained. The Restrained target must repeat the saving throw at the end of its next turn. On a success, the effect ends on the target. On a failure, the target is Petrified until freed by the Greater Restoration spell or other magic."
30,Quarter Pike: A fire hardened spear and Druidic focus all in one that works with Shillelagh.
31,"Encyclopedia Druidica: These books are a compendium of knowledge from the natural world (Increase your Intelligence or Wisdom score by 1, to a maximum of 20). Any checks that are nature related just seem easier to you."
32,"Bracelet of the World Walker - A small bracelet sewn out of various sorts of fabrics and strings, including spider silk, cotton, wool, and the fur of several species of animal. The wearer is unaffected by difficult terrain."
33,"Pendant of the Earth, Seas, and Skies - A small wooden pendant held on a red piece of string. The wooden pendant has three gemstones set into it, one blue, one yellow, one green. The blue gemstone glows dimly in the presence of freshwater and brightly in the presence of saltwater. The green pendant glows brightly when underground and dimly when underground but above sea level - say, when in a mountain. Lastly, the yellow pendant glows brightly during the day and dimly during dawn and dusk."
34,"Wethershome - appears to be a staff made of three long sticks bound together at the top, held by a string at the bottom. If the staff is opened to form a tripod, and covered in branches, entering an opening in the staff-tent allows players to enter a warm, dry room with rough-hewn furnishings. These furnishings cannot be removed from the room or permanently destroyed. Items left within the tent appear underneath the staff when it is lifted up and re-bound."
35,"Atulk's Cocoon - a bearskin, painted with symbols, and beaded around the edges. A person who sleeps inside the skin can get a decent nights sleep even on uncomfortable terrain, and gains protection from heat and cold while wearing or sleeping in the skin."
36,The Dirtmap Wand - appears to be a normal stick. Can be used to trace a map of a nearby area in the dirt with perfect accuracy (up to a 300x300 ft area).
37,"Fetch Ball - A ball of dyed fur wrapped around a stone, roughly the size of a tennis ball. When thrown, targets within 10 feet of the ball must make a wisdom saving throw, or else drop what they're doing to chase after the ball."
38,"Pendant of the Prey - a necklace decorated with a small mouse skull. After attunement, allows the bearer to find a path around any creatures the bearer would consider an enemy, if any such path exists."
39,"Pokeberries - small, dark purple berries. When burst, the berries create a thick, opaque juice that dyes objects a deep reddish-purple. Cannot be eaten."
40,"Seed of Brief Harvest - when planted, this seed grows to form a small bush, resplendent with fruit and vegetables. After a day, the bush withers and dies, leaving a dull stone. A ritual may be performed to enchant the stone into a new Seed of Brief Harvest."
41,"Heart of the Lumberwoods - A staff made of oak, wrapped in vines, and the top has a flower bulb growing out of the vines. In darkness, the bulb opens and releases fireflies that orbit around the flower and give off a soothing blue light (sheds dim light in a 10 foot radius). Once attuned, the bearer of the staff can use a bonus action to send the fireflies to a location within 120 feet (cast the ""Dancing Lights"" cantrip, without needing any components, and does not need to maintain concentration)."
42,"Twig of the World - A twig that, if planted, will grow to a full tree in 24 hours. You may remove one twig from the tree to do it again. Note: tree must naturally be able to grow or it won't work."
43,"Farseeker's Amulet: Deepening your connection to nature as you sleep you are shown all the geographic features, weather patterns, and points of interest in the surrounding area. While sleeping you resemble a pile of leaves, sand, snow, or stones."
44,"Chrono-mites: This amulet releases a particularly voracious species of termite from a pocket dimension where they are usually dormant. Any wood nearby is reduced to termite droppings in seconds. You gain advantage against treants, dryads, awakened trees and shrubs."
45,"Crown of the Wild Hunt: You gain two additional wildshape transformations per day and has a 5% chance of summoning an ethereal wolf, bear, or T-Rex that is friendly to you at the beginning of the week depending on your level."
46,Scroll of Sticks to Snakes.
47,"Leamhán’s Blessing - A small, simple bowl made from elm wood. When filled with oil and set aflame, it acts as a compass for those who find themselves lost in a forest. The resulting smoke points in the direction of safety. Luckily, the bowl itself does not burn."
48,Yew Wand of The Phoenix: The feather in the core of this wand gives a spell caster 25 charges of Firebolt with a 5% chance of it being a Fireball instead. When held over a dying friend the wand has a 5% chance of healing them to full health. Your carrying capacity is doubled while attuned.
49,"Blackthorn Shillelagh: Magical thorny vines spring into existence at a point you choose within a 30' range. The vines can only occupy a 5 foot cube. Any additional vines must be adjacent to the previous casting. Alternatively, you can create 5'x10' hedges by halving the density of the vines to create rough terrain. If a creature would be surrounded on all sides by the vines the creature can make a Dexterity saving throw. The vines can have any shape you desire, though it can't occupy the same space as a creature or object. Each square has an AC 5 and 15 hit points. Reducing a square to 0 hit points destroys it. If you maintain your concentration on the ability for ten minutes, the vines becomes permanent and cannot be dispelled. Otherwise, the vines disappear within a day. You may attack twice each round with the Shillelagh cantrip."
50,Vileblight Seeds: Plant these at night next to a tree and wake up to black and yellow seed pods in the morning... growing on a dead tree. Smash one on your weapon before combat to deal scaling poison damage.
51,Lost Ring of Orram: Your skin takes on a greenish tint and as long as you get 4-6 hours of direct sunlight you don't feel the need to eat. Each morning thereafter you wake up to two handfuls of Goodberries and mysterious accelerated plant growth around you. Roll one night every month for a 5% chance of waking up next to a plant based Simulacrum of yourself. You have advantage in dealing with plant based creatures.
52,Verdant Symbiote: Your skin begins to resemble bark and ironwood. A sentient nature spirit has bonded with you over your body and add +1 AC to your armor. Spider Climb and Web are accessible in humanoid form and your carrying capacity is doubled.
53,Savior of Gal'Darrow: By all accounts an ordinary coconut. But if thrown into a body of water it becomes a living ship. The sides fire large runners of vines that were said to be able to out wrestle a Kraken. When no longer needed the mast blooms and drops another coconut as the ship sinks into the waters below.
54,"Dryad’s harp- a harp with little vines for strings and a oaken body with stray leaves. It appears to be alive requiring water and light to sustain itself. It’s leaves changing with the seasons and it blooms in the spring. If broken or damaged, it will slowly but surely repair itself."
55,Nightshade Guardian: Plant this seed under your sleeping bag at night to envelope you in the center of an awakened tree all night while you sleep adding 1d4 poison damage to any attacks. In the morning it breaks open and blooms into a new seed.
56,Pangolin Bracers: Gain +2 AC and 1d4 slashing damage to your wildshape when hit with a melee attack.
57,"Curupira's Blessing: This amulet fits in your pocket and doesn't require attunement. Your tracks are now backwards, leading people following you away and people running from you towards you. Trees seem to move out of your way and food always seems to be available to pick. Animals are drawn to you."
58,Crow-bill of Ashwood: This specialized war sickle/scythe does 1d8 piercing damage plus an additional 1d4 fire damage. If flipped around the black mahogany handle can be used for the Shillelagh cantrip.
59,"Mar' Messeck: Twice a day hitting a button on this magical box creates a wooden Warforged that tries to help you with your problem. Once the task is done or it's been 24 hours he disappears. ""Existence is pain."""
60,"Expanding Stones: These tiny sling ammo sized rocks can turn into roughly 5 cubic feet boulders when thrown. Drawing the right Druidic rune reduces them back to normal size. Fun for camping if you want to retain heat, build a shelter, need a improvised table, or don't want anyone coming at you from a certain direction."
61,"Enchanted Soil - Any seed, root, or fungus spore planted in this soil will grow. Soil acts as favorable planting soil & favorable condition for growing any plant or fungus."
62,Rare Seeds - a collection of seeds from extremely rare & possibly magical plants & fungus.
