d100,Entry

1,Here Lies Big Benson - Didn't Bring His Ten Foot Pole And Paid The Price'
2,For a good time teleport to sequence [SIGIL SEQUENCE]'
3,Sneek Atak Heer' with an arrow pointing behind a rock.
4,Kobold Pride' in draconic.
5,Your Mother Is A Succubus'
6,Here lies Tom - 'There's no way that door can be a mimic'.'
7,Here may be found the last words of Joseph of Aramathia. He who is valiant and pure of spirit may find the holy grail in the Castle of Aaauuuggghhh... '
8,Dwarves Suck' written 8 feet up a wall.
9,"Don't bother trying to grave rob. The corpses don't like visitors. Come to think of it, they don't like anything living at all'."
10,"On the ceiling, 'Beware of Trappers'"
11,"On the floor, 'Beware of Piercers'"
12,Archmage Drachnar and his Meat-Shields were here'
13,"On the side of the passage, 'Only the penitent man shall pass ...'"
14,"A map of the dungeon that at first glance seems correct, but either upon closer inspection or actually trying to use it flaws are revealed, secret doors marked where there isn't one, hallways/staircases connecting the wrong rooms, etc."
15,"I'll make yer skeleton exit yer meat', in Orcish."
16,"Do not open.' on a door (door opens to a small, empty closet). 'Can you not read?' on closet wall."
17,"Don't Dead, Open inside' written in the same manner as on the show. While there's probably undead on the other side, the more or less garentees the room hasnt been looted."
18,"You don't matter! Give up!' Placed on a pair of small signs outside of the dungeon. Left by a well intentioned, if a bit stupid, bard."
19,Sorry about your wall!' Place this one near either some blood from a prior battle or a hole in the wall for added effect.
20,Fuck you!' placed behind a false door with a booby trap rigged to the door. Maybe a explosive/grenade/fire trap or a rockfall trap.
21,"Sharg's wife is most beautiful,' in orcish script, next to a crude picture of a fang-mawed dog."
22,A crude drawing of a kobold 'in congress' with a dragon. It isn't clear from the context and art quality whether this is a good or bad thing for the kobold.
23,68 tally marks scratched with incredible neatness. The last one looks very fresh and is shorter than the others...
24,"2 to the left, 3 to the right and straight below' in the language of a subservient race to the main dungeon dwelling race."
25,[Cheif's right hand lackeys name] is [impotent/illiterate/part-human/vegetarian/a bookworm/short-sighted/other dire embarrasing trait for one of their species or job] ' this is a horrible rumour around the dungeon which (s)he has worked hard to stamp out and is now largely forgotton or at least unspoken. It is also 100% true. Make sure you introduce them by name when the PCs meet them!
26,Trouble reading this? Try Lothar's Lights for all your torch and lantern needs. Just a short ride from this dungeon.'
27,"That last bit of graffiti was written by a [setting appropriate expletive]ing liar'. On a successful spot check, evidence of dried blood can be seen on the floor below the graffiti."
28,"Originally a crude carving of a penis, someone painted over it to turn it into a kitten. If the paint is removed, the original carved design remains."
29,Block the path RUN'
30,Take off that hat.'
31,It sees NO EYES'
32,You have to burn the rope.'
33,It hurts.'
34,OVER THINKING IT'
35,REDRUM'
36,NILBOG'
37,See you next Wednesday.'
38,There is no such thing as Majestic-12.'
39,How's my dungeoneering?'
40,Welcome to Hell. We accept payment in paper or plastic.'
41,I must not tell lies.'
42,"Wash your boots, don't leave any footprints behind.'"
43,"I am so grateful to be alive. I am in a world of shit, yes, but I am alive. And I am not afraid.'"
44,She's lying to you.'
45,Did I ever tell you the definition of insanity?'
46,Let me in. I'm scared.'
47,"In tiny lettering: 'If you can read this, it's already too late.'"
48,The Minotaur is not what he seems.'
49,Secret door here.'
50,Joreth - I've gone back for her. Meet me at the Frog and Jester in Pennyworth Lane.'
51,Look behind you. Now!'
52,I am the last of us. Do not think ill of me but I cannot go on alone. Do not choose the black door if you wish to see sunlight again. Good luck.'
53,Ph'nglui mglw'nafh Cthulhu R'lyeh wgah'nagl fhtagn'
54,No hope for those who proceed forward'
55,Watch for the pit trap'
56,In scribbled writing: 'Don't eat the mushrooms'
