d100,Entry

1,"Occasionally trips over his beard, then angrily insists that that is an attractive feature back under the mountain."
2,"Stingy... except around women, whom he is greatly concerned with impressing."
3,"Wields a hammer because his father was a smith. And while that profession was not for him, he still honors his family every time he goes to battle"
4,Obsessed with finding rubies. Will take a hand full of rubies over a chest full of gold any day.
5,Secretly hates beer as it's too bitter. Drinks rum instead.
6,"Is very attracted to halflings, vastly more so then to other dwarves. But they'd never let their parents find out."
7,Constantly 'chalks up' their hands with dirt or dust from rocks to better their grip on their weapon
8,"Scared of goblins, but does everything humanly possibly to deny this."
9,Believes he was chosen by Moradin to do something important. But has no idea what it is...for now.
10,Can't let a dare or slight against his courage slip by him. Always bites when someone calls him a chicken.
11,"Likes to hum 'Heigh Ho' to themselves. When asked why, they fervently deny it saying, 'I was not.'"
12,Has an obsession with staking claims throughout the adventure in search of ore and gems. Has personalized metal spikes.
13,Actually likes elves ever as one saved them as a child.
14,"Is very tall for a dwarf (5'0') and proudly boasts about this often, even when in the company of races much taller than him."
15,Likes to keep/store spare tools in his beard.
16,"Decorates their equipment with menacing spikes. While they look rusty, they are of the highest quality craftsmanship."
17,Doesn't actually drink alcohol. They just case prestidigitation on water to look and taste like alcohol.
18,Convinced that a pick-axe is the best melee weapon.
19,"Obviously dyes their beard. There are streaks of gray that have been colored to match their original shade, but don't exactly match. Vigorously denies that they dye their beard."
20,Dislikes wearing shoes and prefers to be closer to the earth. Often tries to show off his feet calluses.
21,Always picks their teeth with a sliver of a stone from their home.
22,"Tends to be more curious when encountering monstrous humanoids (Orcs, Goblins, etc.) rather than outright hostile."
23,"Has ornate metal bands adorning their beard, of brass and bronze, decorated to pay homage to the adventures they have been on so far."
24,"Always carries around a small personal cask of ale for 'emergencies'. Is concerned with filling it immediately after it empties, holds 4 servings of ale."
25,Talks constantly of their family's prowess at brewing ale.
26,Is usually snacking on some form of hard cheese or salted meat.
27,"Grimmaces and complains when they are outside for too long and haven't been in a cave, mine, or other underground area for longer than 1d8 days."
28,Keeps a record of the giants they've killed with notches in their axe or war hammer handle. (Can be any other type of creature.)
29,"She/he can't understand complicated plans, or they refuse to try. It should be plain and simple, otherwise she/he drools or something of the like. The axe goes in the head of the evil guy and the hammer breaks his bones. What else do you need?"
30,Builds tiny warforged servants (limited-sentience). Calls them his babies.
31,Incredibly and uncomfortably affectionate when drunk.
32,Refuses to wear or wield non-dwarven arms and armor
33,Has a metal lower jaw after an unfortunate forge accident. As a result their mouth is always slightly open and the tinniest bit crooked... just enough to irritate the obsessive compulsive.
34,"He cannot grow a beard, only a moustache."
35,"Can only grow a beard, no mustache."
36,Carries around a small etching of his/her beautiful/handsome (subjective) wife/husband. Likes to show it off to everyone at every opportunity they get. Reacts badly to anyone who doesn't praise their partners luscious beard.
37,has a large nose that turns red whenever it's cold outside or when he's drunk. Hates being called 'Rudolph'.
38,"is very bigoted towards the underdark and everyone/thing from there. Will often blame problems on the surface world on the underdark. 'Political corruption? Probably a mind flayer. Those things are real you know. The underdark, such an awful place.'"
39,"actively collects children's trading cards and occasionally plays in city tournaments. He's rather joyful about discussing it too among his non-dwarven friends, but always 'forgets' his deck when drawves show up. Has gotten into verbal arguments over card rules with children before."
40,"Likes reading history, especially about heroes and battles that are often overlooked in traditional history books. (Prof in History)"
41,"Carries a flask of infinite ale around with them, however, they never seem to be drunk. (It's water)"
42,Is missing an eye/ Replaced it with a chunk of gold craved to look like an eye. Like YuGiOh.
43,"Yells unique expletives when angry, such as 'Balldersmith!', 'Haggis!' or 'SON OF AN ELF!'"
44,hates heights. actively avoids climbing unless they must.
45,Is petrified of open water. Can't swim.
46,Skin is so rough that he can light a match on any part of his body.
47,"Has large hands for someone his size.Hair grows on his knuckles. Carrying things are much easier, as is crushing eggs."
48,Thinks mind flayers don't exist; just rumors and urban legends. Scoffs at the idea of slaad's too.
49,Skilled at playing a harp due to lessons their mother made them take as a child. Is deeply embarrassed by this as harp-players are supposed to be romantic fortune tellers in their clan.
50,Attempts to wrestles beasts/animals before hitting them with a weapon.
51,Uses dyes made of crushed gems and similar substances to dye hair and beard wild colours.
52,Has a stooped posture out of shame for their unnaturally tall and un-dwarf-like body.
53,"Takes precautions against being out in daylight for too long out of fear for its effects. All the above ground races are constantly exposed to it, after all, and they can't grow decent beards to save their life."
54,"Carries (does not wear) a copper ring with intricate carvings on its circumference. It is obviously important to them, but they're reluctant to say why."
55,"Has an intense fascination for plants. Likes flowers the most, with an especial interest for lilies."
56,"Has a small pet bird for a companion, enjoys whistling songs with it."
57,"Boisterous and happy to brawl, tends to engage in violent pasttimes and drunken fights for pleasure"
58,Always carries a jeweler's lens to appraise items. Pretends to be knowledgeable in a lot of domains out of their expertise
59,"Is fearful of tight spaces, especially underground mines, etc."
60,talks in his sleep. Has a tendency to admit embarrassing things late at night.
61,"Collects random animal parts, herbs, spices, and other unique ingredients in an attempt to craft the best ale in the world. Loves this hobby."
62,Carries around a small piece of rock and will throw it at opponents in an attempt to distract them for a tick.
63,"grew up under a desert. As a result, they're fascinated by ponds and rivers. They like spending their down time by a source of water and can stare at lakes for hours."
64,Carries around their own beer stein (its 2 to 3 times the size of a regular one) and will only drink from it.
65,"Having spent the vast majority of their lives underground they are fascinated by the weather, and keep meticulous notes on it day in and day out."
66,"Is scared of horses. He will never ride one because they're 'so high up'. Oddly enough, he's fine with climbing mountains."
67,"Claims they can read the history of a stone simply by touching, licking, and examining the stone closely. Then creates elaborate stories for said stone (which may or may not be exaggerated). Will do this for stone buildings, random pebbles, mountains, any stone really."
68,Secretly appreciates elven made weaponry and dreams of learning from a master elven smith.
