d100,Entry

1,"A young dragon that was permanently shrunk by cursed magic, and is unable to speak in any form. Will take hundreds of years to mature and is learning magic by being a familiar and observing spellcasters so as to learn how to undo his curse."
2,"A horrible looking humanoid homunculus with sharpened teeth that must eat human flesh as food, and eats nothing else. Will pursue food on his own if not fed, but is otherwise perfectly docile."
3,"A baby peryton, that loves to hunt small animals and kill them for food and fun. Hates elves, and loves to make it known. It's shadow is that of a tiny humanoid flapping its arms as it flys."
4,"A normal familiar creature, but with a pouch on its belly, where it keeps various trinkets and valuables. Obsessively steals trinkets and valuables if left unattended."
5,"A tumor that has grown on the spellcaster, has a tiny mouth and grows sparse hair, may have an eye or two. It posses its own brain and has an excellent memory, but little intelligence. can recite spells perfectly but lacks the intellect to carry a conversation or ask any questions."
6,"A tiny construct that chirps and whirrs as it flys around. Possesses a small glass orb of magic that may be used for scrying. Prefers spellcasters with missing arms or hands, so it can change shape and take the form of the casters appendage for as long as it desires to."
7,"A small fire elemental vanished from the plane of fire shaped like a black cat, leaves black ashen tracks everywhere it goes. It can be commanded to summon its tiny fire powers to explode damaging everything around it, but like most cats, is temperamental and difficult to control or command."
8,"A clockwork badger. Dig speed 30 feet, will straight up ruin the day of anything it doesn't like."
9,A particularly spiteful faery that's run away from home and latched onto you because it likes the color of your eyes. Occasionally changes your hair color in the middle of the night and refuses to be told what to cast or when.
10,"An egg, with legs. Nobody's been able to crack the shell yet, but it's convinced you're its mother, and will probably attempt to eat the rest of the party when it comes out of its shell."
11,"A tiny alligator. Like ridiculously tiny, three inches long at most. The only way you can tell it apart from a newt is it occasionally latches onto a finger and draws blood. But it's very good at sneaking into and out of places."
12,"Micro-dragon. If it curls up, it fits into the palm of your hand. You found it in your gold pouch one day clutching a single gold piece, and it refuses to let go. Can produce a small flame as with Prestidigitation."
13,"A Fuster Cluck. A rooster with comically large wattle and tailfeathers. The cosmic rules governing reality tend to bend near this strange creature, resulting in things going terribly, horribly, implausibly wrong for a creature nearby."
14,"Enchanted, sentient spectacles that has way better passive perception than you do. Whispers in your ear when it's seen something you haven't. Occasionally likes to play pranks by insisting there are monsters nearby where there are none."
15,"A Personal Assistant Imp, four inches tall, who lives in a cage. He tells time, he takes memos, he reminds you of important dates! He usually does a poor job of it. Yes, I've just started reading Terry Pratchett, why do you ask?"
16,A succubus the size of a halfling.
17,"A small variant of a winged serpent. It has a tiny lightning breath, and can fly unhindered in storm clouds."
18,"An animated sapling. It can blend in perfectly with trees as long as it closes its eyes and mouth, stands still and is on a spot that would normally grow such a tree."
19,A platypus. It has a poisonous claw attack.
20,A sea otter. It can move freely (35 feet) on both land and water surfaces.
21,"A giant slug. It has a movement of 10 feet. It regenerates hit points at an extremely fast rate. It can be placed on any kind of surface for an hour (except for salt) and gain resistance to attacks of that element by absorbing some of it. It also has a ranged acid attack, that can corrode metal slowly."
22,"A small, burrowing, armored worm. It can move in dirt at movespeed of 25 feet. Above ground it can move at 35 feet. It has tremor sense."
23,"A small feline creature with rainbow colored insect-like wings (flyspeed of 30 feet). It can cast color spray once a day. It is very energetic and enjoys hunting for small fey creatures like pixies, though it is easily outsmarted by them."
24,A ferret with impossible colorings and patterns in its fur.
25,"A goldfish. Yes, the fishbowl is required. If the goldfish is happy you find it easier to hold your breath. You have advantage on con checks for doing so."
26,A chihuahua with a lions soul trapped in its body.
27,A penguin. It may or may not be hiding an egg between its legs. The egg may or may not be a penguin.
28,"A featherless hawk. It can’t fly, but it sure is funny to look at."
29,A chinchilla that when given an opportunity for a dust bath emanates an aura causing intense positive emotions.
30,"A small fairy that can tell you where the nearest pub is when you enter a new city, based on the scent of ale."
31,A house tarrasque.
32,"A tiny bard that lives in a music box, except it will only sing a song about wanting the box to be closed again."
33,"A lamia, but with the lower half of a mouse."
34,A tiny treant in a small clay flower pot.
35,"A magical flying origami swan. It can detect the aignment of living things, and reacts accordingly."
36,"A tiny sandstone golem, that carries a tiny umbrella, which it uses to glide around. It has enough strenght to jump on a shoulder."
37,"A yellow electric rat. It has a weak lightning attack, and it's tears can cure petrification."
38,"A sentient knife tied to a long and thin string. While it cannot fly, it can propel itself in any direction (kinda like a jellyfish), and will promptly attack anyone who menaces it's master."
39,"A mummified cat, that seems indifferent to anything that happens around it. Does not need to sleep, eat or drink, even though it does all of that frequently. Also, it is an unlimited source of dusty toilet paper."
40,"A small dog, like a chihuahua or a pug. It can speak, but ONLY one-syllable words."
41,An albino raven that occasionally speaks and more rarely has visions of the future.
42,A silver sphere the size of a juggling ball. It can roll around and jump short distances and can detect the presence and intent of magic and acts accordingly.
43,"A tiny grey ooze that can psychically communicate with any creature it touches, it can only communicate general ideas and not specific words this way."
44,An animated shrunken head that can fluently speak common.
45,An enchanted octopus that can survive on land indefinitely and can change it's color and texture on land as well.
46,A Velociraptor wearing a top hat and monocle that generally scoffs at fighting.
47,A Will-o-Wisp that lures strangers to owner of the familiar without warning the owner.
48,A Cloud Otter; an otter with white or gray fur that can swim through the air.
49,"An Animated Object, for example a large wooden spoon, that complains whenever it is not be used to fulfill it's purpose."
50,A cybernetically-enhanced housecat.
51,"A demonic 'possession' creature; can only possess common tableware (spoons, knives, forks, plates, napkins, salt/pepper shaker, etc.)"
52,A vulture that vomits ale as a defense mechanism.
53,"A lump of enchanted patchwork flesh that turns into any of the monsters on this list with their associated ability, for 12 hours (d100 for what it turns into)."
54,"A baby. For everyone else, this IS a baby; to the owner, it is a living embodiment of their own magical will. It cannot be killed by mundane or magical means, and for all intents and purposes is indestructible; but if the spellcaster is damaged, the baby is damaged (which also means, if the spellcaster dies, the baby dies). Think 'Portrait of Dorian Gray', kinda. Additional: a psychic link between caster and baby reveals the baby is himself--and thus, can converse with the baby/himself psychically or verbally (but the baby cannot speak, itself). It is able to move--'crawl'--up to a few meters away, and can share what it sees with the caster. Basically, it can do baby things, and obeys commands that the caster gives it, to the physical limit of a baby. Note-slash-edit: using the baby as an object (re: 'I'll just go around and beat everyone with it then!') saps the spellcaster of any goodness inside them--the more evil they become, the more blackened, bruised, and ugly the baby gets."
55,"A lion turtle (yeah, THAT lion turtle. Not super huge, as it ain't too old yet--think 'average tortoise'-sized. Which, I also suppose, means it's still in it's infancy?). Can either: hold extra spell slots for the caster, or turn one spell per day into a spell level higher (turtles' choice--which, really, is GM's choice), cast a random spell as needed, or finally, lets it's owner reroll a saving throw (boost of luck)."
56,"A tiny metal (or clockwork) danger noodle--er, snake--that only the spellcaster knows is animate. Can either be the size of a ring, a necklace, or a belt (re: growth/shrink)."
57,"A ventriloquist dog--upon receiving, spellcaster goes permanently mute (until dog is no longer their familiar). Dog speaks for them in a perfect accent of your choice (although German just sounds inherently funnier)."
58,"An animate shillelagh, imbued with the spirit of a dog. The top half/thicker half is carved to look like the face of either an English bulldog or a corgi (dealer's choice)."
59,"An old silk hat. Place on a mound of matter, to become a golem of said matter. Once belonged to a wizard."
60,"Mushroom Jesus. A Small-sized anthropomorphized fungi that you can eat pieces of that will save you... from starvation. Regenerates each day. When not being eaten, is rather enjoyable to be around. Immune to poisons."
61,A squirrel with naturally occurring plates of bioarmor (re: pangolin).
62,"A thousand year old vampire alligator. Eats ideas, concepts, words; libraries are grocery stores to him, whereas taverns have the highest-quality foods."
63,A green fox that laughs like a small child. Provokes a chance of madness in those who tell it bad jokes.
64,The spirit of a town drunk. The drunk is not dead; his spirit just leaves his body whenever he becomes 'blackout drunk'. Useful as much as you think a spirit would be.
65,"Bees. You wear their 'queen' in a golden amber oval around your neck; it cannot be stolen, as it has adhered to your flesh (it just LOOKS like it's a necklace). Eating/drinking your hive's honey imbues more magical potency. Making/drinking mead doubles it (but, it's mead, so it'll getcha drunk). The honey potency only applies to you, but the mead can be sold and applied to anyone--but again, it's mead, so it'll get them drunk."
66,"A magical, sentient brick that can communicate with you telepathically."
67,A cat-sized Praying Mantis.
68,An ancient tortoise with lichens growing on its shell.
