d100,Entry

1,"You fellas make sure to bring ink and parchment, you hear! I remember back, oh, 35 summers ago we found a crypt too big to tackle at the time so we decided to make a map. Only old Bark toes, well we called him Bark toes on account of being a druid his real name was Faelwyn (Sounds elvish but he was a Dwarf, damnedest thing really)... but anyway, old Bark toes had buried all our paper! Said it was only proper respect for Father Tree. So we had to hunt down a rabbit, tan the hide, then burn the map into it. Took 3 days, and that map reeked up my pack something fierce!"
2,Hah! That reminds me of a particularly harsh winter when a dwarf I traveled with thought it’d be fun to explore a cave despite us being low on rations. Needless to say by the time spring rolled around I was plus a few Bullywug bites and minus a short bearded friend!
3,I wouldn’t eat that if I was you. I was once treated to the spectacle of what I thought was a Tabaxi coughing up a hairball. Turns out a Remorhaze egg had been incubating in her gut from some dodgy stew and she quickly became its first meal.
4,You think this is bad weather? I’ve seen it rain so hard that you’d swear it was coming from the ground and the sky at the same time. My boots filled so fast I had to walk barefoot to the nearest shelter I could find. Nearly stepped on a gas spore.
5,"Well, let me tell you: you can take the mightiest knight or wizard in the kingdom, and they'll duel a demigod or storm the gates o'hell. But you throw enough angry chickens at'em, sooner or later they'll go DOWN. Buy me a top-shelf whiskey and I'll tell you how it happened to the high priest. It might come in handy later on."
6,"That's a good story, but I bet you never saw a goliath hurl a gnome into the maw of an angry froghemoth, the hard part wasn't getting the gnome out of the creature, she did that much herself. The hard part was getting the stink o' frog guts off of the gnome."
7,"Things are different these days, they are indeed. I was a Red Arrow, didja know that? Travelled all over these lands, usually in small bands but sometimes they were hundreds of us. Thousands! Everywhere we went we'd work to make people proud of their own accomplishments. Make 'em happy, even if they said our arrows were orange! And if they stole from others, or said unkind things, why we stabbed them with our cold blue spears to let the people know how to behave like proper folk!"
8,"This? Just a bit o' mead from home. Like wine, but made of honey; there's a bit of rose in this one, I think. Want a taste? (If offer is accepted, the mead is described as being pleasantly sweet and smooth, if a bit dry. May cause heartburn for those with hearts.) Good stuff, innit? My uncle's favorite; it's basically all he'd drink. We'd usually get that mead with the juniper berries mixed in, but my uncle preferred the rose mead. Said it tasted better. Dunno if I entirely agree, but that's what he would bring over. Heh...I remember one year, he came by, strangely empty-handed. My mum (his sister) asked where the mead was. That's the thing, he said, they said they was out. Some damn fool had made off with the barrels, leaving none for the rest of us. He suffered through the juniper mead, but he sure as hell wasn't happy about it. But then comes next week, right? He comes by with two kegs of the stuff. THEY FOUND IT, he said. He said he'd been walking along when he heard a commotion off the path, went to go check it out. And, sitting on top of a cart, drunk as hell, were the thieves. They hadn't even properly made off with the stuff, they were just sitting there barely off the road. Damn fools. My uncle seemed proud of himself. Man loved his mead. Maybe a little too much..."
9,"Hah! That's nothing! You want to know what 'up shit creek without a paddle' really looks like? Lemme tell you a story: Me and four of me mates (or so I thought) were going through the mountains with a big load from... I won't tell, because I might actually get back to that pile o' gold one day. But! We were going through this wicked cave, and suddenly drow, the dark bastards, jump out of the shadows and start shouting at us in broken common. Now, we're alone in the mountains, one weeks travel from any civilization, and ambushed by a crew of drow. That's the shit creek, now where's me paddle gone? Well as if the situation wasn't bad enough, there's a cave in that separates me from me mates (got Spencer's leg too), and now I'm alone against a dozen pissed off drow. Now, how I got out of that situation with only a dirk and a shovel to my name, is a story that there isn't a cup of mead big enough to buy from me."
