d100,Entry

1,Calm winds and clear skies make for perfect flying conditions and an enjoyable flight.
2,A light breeze blows across your flight path but doesn't affect your ability to stay aloft.
3,Strong headwind makes flight more difficult and slower.
4,An overcast sky of impermeable cloud cover limits your vision.
5,Freezing Rain brings cold temperatures that chill you to bone. Extended flight in these wet conditions lead to ice accumulation on you or vessel. This increased weight make it more difficult to stay aloft.
6,"Thunderstorms ahead: a large thunderhead looms in front of your path, the cloud racked with streaks of lightening."
7,Thermals or rising bodies of air cause you to rise and fall erratically. A DC 15 check is needed to maintain control.
8,"A strong wind to your back drives you forward, allowing you to travel further."
9,A persistent fog blocks your view of the ground.
10,A hurricane is visible on the horizon but you cannot determine the full size of this storm. Strong winds & rain clouds swirl around a calm center. Turbulence herald its approach.
11,"A micro-burst is a localized column of sinking air (downdraft) within a thunderstorm and is usually less than or equal to 2.5 miles in diameter. Wind suddenly pushes you towards the ground. If flying at low altitude, a DC 15 check is needed to keep from crashing into the ground."
12,"Your flight takes your through a light snow flurry, the snowflakes gently falling or carried by a faint breeze."
13,"Your flight takes your through a moderate snowstorm, the snowflakes being driven by a biting wind."
14,Your flight takes your through a heavy snowstorm. Driving snow and strong winds makes flight difficult and keeping warm even harder.
15,Your flight takes your through a blizzard. The deluge of snow and driving winds leave makes travel in these whiteout conditions extremely difficult to potentially life threatening.
16,A swarm of birds or small creatures approaching.
17,Swarm of insects approaching.
18,"Approaching dust storms begin to become thicker and thicker. Visibility reduced severely (I use a max of 20 ft, 40 ft if wearing eye protection), if severe dust storm: take 1d2 bludgeoning damage a round if not in cover for 10 rounds, then the damage switches to 1d4 for 10 rounds, then 1d6 for 10 rounds."
19,"Reverse Thunderstorms are made of clouds of black that release black lightning that have no ordinary thunder crack. Instead the lightening is accompanied with a building high pitched whine and then complete silence as the lightning devours sound. Mutes all creatures during a lightning strike in 1 mile of thunder, non-magical sources of light that produce bright are now dim, dim is now darkness in proximity to storm."
20,"Anti Thunderstorm generates large flashes of darkness that randomly plunge sections of the map into darkness, with high pitch screeches when lightning strikes. Blinds all creatures (via darkness) if near darkness when lightning strikes, leaves residual clouds of darkness on ground during strikes."
