d100,Entry

1,"Beware of the blinding red light. If you see this light, you must flee. It will only bring you death!"
2,"You will find the answer to a long, mysterious riddle in your family bloodline buried between two oak trees, west of the village you grew up in."
3,A path of death lies in your wake.
4,"Greed is a poor man’s compass, and I see gold and riches in your future."
5,A single wolf is slaughtered by many enemies that surround it. Let this be a warning sign of danger that is preventable by the pack.
6,The truth will come from a child’s toy. The lie will come from a weapon.
7,You must drink of the poison well and eat of the spoiled pantry.
8,"Follow the flight of birds, never in winter, always returning."
9,A song contains a wish. Only the name will answer.
10,The mother has disguised herself. Her babe is lost and will not return. She will nurse no other.
11,The gears turn long after the machine has been broken. He who built it cannot mend it. He who holds it cannot carry it. He who finds it cannot speak it.
12,"Gaze through the cracked window, and only then will you see clearly."
13,Beware the men with gills. Speak not to the sea or the southern wind.
14,"Beware the snake’s venom, not its bite."
15,"Travel five days with the silver star at your heels, then cross the raging river. There you will come to realize your true self."
16,The light will be in the shadowest darkness.
17,"Not all the frogs are in the pond, beware of them."
18,"One for the fire, two for the clouds, and three for the knights."
19,Don’t trust the song of the birds.
20,Cloak in the water. The man is crying. Let the leaf falls and everything will be fine.
21,"For one wish to make, it’ll be more wish to crumble."
22,In the high plain there’s a dark moon. Don’t follow the light.
23,"When the dawn will come at the birthday of the mother, rats and snakes will devour all hopes."
24,"Near the montains, there is a grey falcon. Look at the eyes, and you’ll die. Look at the tail, and you’ll be rich."
25,"Don’t move when the night song come, or you’ll gain something you don’t want, and lost something you wanted to keep."
26,"Today was possibly the most important day of your life! Congrat.. oh… you missed it… tsk tsk tsk… What a shame… A do-over, then! Tomorrow you will wake up and it will be today. Make sure you return or that decree will stay. k, Bye!"
27,Do not trust your thoughts. They will hinder your victory.
28,A figment in blue will cross your path tomorrow. You will know it when you see the sign. You must turn around 4 times and speak the following words:
29,And through the drifts the snowy clifts Did send a dismal sheen: Nor shapes of men nor beasts we ken The ice was all between.
30,"If you believe in telekinesis, raise my hand. The fortune teller then proceeds to raise their hand."
31,"When you are done, the spirit haunting will pass over you."
32,A dragon will give you a jewel. Beware the generous miser.
33,The path less traveled is paved in gold.
34,Find the woman who gives birds their song.
35,"Beware, young mouse, for the lion is thorned."
