d100,Entry

1,"The Let-Go: A small, metallic box that is riveted with small bumps. The Let-Go was originally sold in toy and trinket shops as a children’s building toy. They were extremely popular with children and adults alike before being removed from shelves due to delinquents recognizing their pure destructive abilities and utilizing said abilities in pranks that more often than not ended with the trigger-er in horrible pain. When stepped on, these metallic boxes would cause searing pain to shoot up the creature’s leg, even being able to punch through the soles of most common boots."
2,"Irvlin's Icy Earmuffs: Upon speaking the command word, these fluffy, crystal clear earmuffs fire two cones of cold in opposite directions, one from each ear (save DC 15). This property can be used once per day. They also keep your ears warm. (Irvlin is not responsible for any damage caused to allies)"
3,"Fidget's Spinner: A mechanical apparatus that, once activated whirls at a disconcerting rate of speed. Can be thrown farther than a usual projectile as it will glide along the air and hit quite a bit harder. Can be bladed or coupled with combustibles for extra effects. Was made as a children's toy, but it’s upsetting lethality showed it far better suited to combat."
4,"Gimble's Fabulous Spring. A high-tension spring device contained in a compacted platform. Can be activated to provide lift, boost a jump, or even to separate heavy objects, however, should the housing be damaged, the energy released by the uncoiling spring can prove spectacularly lethal. Some less scrupulous gnomes have been known to intentionally compromise Gimble's Springs to create traps."
5,"Pimm's Cup: A drinking vessel of average appearance. Through a series of mechanical switches can be used to mix in liquid and powdered additives contained in the outer shell in careful proportion. Originally intended as a layman-friendly potion mixing device, the cup has also seen use in cocktail crafting and poisoning enemies."
6,"Rocky's Favorite Gizmo: Apparently, a strange collection of pipes, wires and odds and ends, careful manipulation of its many valves and switches can lead to a number of effects, although most common is a gout of flame in a 30-foot radius."
7,"Silver Mechanical Door Opener: If attached to a door frame as a full round action and connected to a door handle on an unlocked door and activated as a free action, the mechanical device weighing 25 lbs. will turn a door handle and/or force a door open in 5 rounds as if it were opened with an ability check (Strength) of 14. The object takes 5 rounds to reset and properly store."
8,Det Cord: Gunpowder infused string. Nothing could possibly go wrong!
9,A small wooden toy lumberjack that violently swings a sharp metal axe downwards when pressed the button in its back. Anything under the axe loses 1 hit point.
10,Essential Healing Potion: Heals 2d4+2 HP randomly within the next 24 hours. Made from essential oils.
11,Emergency Quiver: Opening the quiver launches all the arrows forth at once. Make sure you don’t get it confused with your real quiver.
12,"Theft-Deterrent Pouch: Reaching into the pouch requires a DC 10 CON save, or take 2d6 poison damage, half on a success. Wait... how do I get my gold back out?"
13,Ravenous Hunting Trap: This hunting trap primes and triggers itself every hour. Best make sure it not dangling from your belt...
14,"Slightly Larger Torch: This torch provides bright light in a 30ft radius, and dim light for an additional 30ft. However, this added brightness comes from the fact the entire torch is on fire, including the handle. Take 1 fire damage per turn while holding this object."
15,"Weapon Effect - Spiked: These vicious spikes add 1 piercing damage to your weapon! You also take 1 piercing damage whenever you hit on an attack. We put spikes on the whole thing, including the handle."
16,Explosive Bow and Arrow: These arrows detonate on medium-high velocity impact. Beware butterfingers who drop the quiver.
17,"Escape Balloon: In case of emergency, pull the string and a balloon will inflate to fly you away from the danger. Getting back down safely might be harder."
18,Explosive Hammer: For when you really need to pound down the stone wall. The risks of a hammer chock full of explosives should be obvious.
19,"The Magical Alarm Clock: Casts a random spell that you, or someone close, knows to wake you up at the designated time. There's nothing like waking up to a fireball in your travel jammies."
20,A crossbow that launches potions. The chance of exploding on launch depends on the potion container.
21,"Restraining Foam: Everything in a large radius suffers the effect of an entangle and web spell, each with a spell save DC of 16 as the area becomes heavily obscured by a froth that hardens almost instantly into magical foam. Must be manually triggered (no throwing)."
22,"Impervious Sphere (single use): When attacked, you may use your reaction to become surrounded by a protective spherical barrier that lasts for 1d4+1 hours. While within you cannot interact with the outside world (cast spells or be heard, attack, etc. through it) but you can see and be seen vaguely through its curiously pink opacity. The sphere has immunity to all forms of damage and protects you from all forms of damage originating from outside the sphere. You are untargetable by sources outside the sphere. You may move at Speed -10 feet while within the sphere, rolling it along as part of your normal move. It is subject to gravity and will roll down slopes at increasing speeds (DM’s discretion whether falling is technically damage from outside or from your body colliding with the sphere). The sphere is linked to your person - if you teleport, ethereal jaunt, blink, etc. - it travels with you. The sphere contains 1d4-1 hours of breathable air within it."
23,"A pocket watch with a multitude of faces and dials, each tracking the precise time in a different plane. Unfortunately, it is powered by an incredibly tiny rift between our plane and the abyss. If you hold it to your ear you can hear faint whispers of the chaos. If it is ever dropped or left unattended for more than 1 hour, it spawns 1d4 Imps who torment you and play keep away with the watch."
24,"Tantalizing Top: A spinning top covered in different colored gemstones. When you spin it, ribbons of colored lights burst from it and seem to dance around on their own. It requires an action to activate. Every creature (including the spinner of the top) in a 10ft radius must make a DC 14 Wisdom saving throw or become stunned by the top's beauty. Any creature that enters the Tantalizing Top's radius while it is activated must immediately make the same Wisdom saving throw or become stunned. At the end of each successive turn, a creature can re-attempt the saving throw. The top can only be de-activated by a creature who is not currently affected by it. It requires one bonus action to stop the Tantalizing Top."
25,"Winston Probt's Goggles of the Vision Miraculous: A pair of goggles that allow the viewer to see at great distances. An affect they achieve by using minor transmutation magic to actually change the physical makeup of the wearer's eyes. Once the goggles are removed, the effect takes 24 hours to wear off, leaving the viewer unable to render anything at a close distance during that time."
26,"Gazlowe's Grabby Hands: A backpack device with four mechanical arms ending in dexterous robot hands (think a Gnomish Doc Ock). Controlled by a helmet the user wears. Each 30 minutes of non-combat use, the user must make a Will Save (DC 10). On a failed save, user is paralyzed for 30 minutes. In combat, user gets one extra attack per Grabby Hand. Each time the Grabby Hands device is used to attack, user must make a Will Save. User declares at the start of their turn how many extra attacks they are making (up to a limit of 4). Each attack made raises the DC by 5. For a single extra attack, a Will Save (DC 5) must be made. For two extra attacks, the DC is 10, and so forth. On a failed save, user is paralyzed for one round. Each hand is capable of operating a weapon with which the user is proficient. Two handed weapons require two Grabby Hands to operate."
27,"Gob's Hood of Hiding: Makes you Look, and Smell, like a goblin - head to toe - dc20 perception check. When you take it off, you no longer Look like a goblin. Oh, the smell? It lingers..."
28,"The Excessively Fluffy Hat of Excessive Warmth: It keeps the character warm in extreme cold, but if the temperature is any higher than extreme cold, the character starts suffering from extreme heat."
29,Anti-thief Backpack Of 'splosion: Anyone taking anything out of the backpack must make a DC15 sleight of hand check. If failed the backpack and all its contents explode in a 20' radius 10d6 fireball. The backpack confers no fire protection to the wearer.
30,"Goblin/Kobold Powered Wheelchair: The main wheels are just overly large, caged hamster wheels. Throw a caffeinated goblin or kobold into each caged wheel, release the breaks and hold on tight."
31,"Steam Powered Pogo Stick: When you want to reach or jump to those pesky high ledges, rooftops, etc. and you need that extra oomph to get there."
32,"A spell work speak & say automation device for the busy mage. A pocket-sized horn speaker and gearwork box used to speak up to three verbal commands used in common cantrips on the back is a slot where you can insert slips of paper with the verbal spell commands. Users can press a button to speak the magic commands, channeling the power from the nearest caster. Machine, however, was never meant to conduct magical energy. Roll 1d10 whenever using it. On a roll of 7, roll for an effect on the wild magic table."
33,"Farbar's Fantastically Fabulous Prosthetic Hand: Replaces your hand and part of your forearm. A prosthetic hand where each finger can be fired like a dart for 1d4 piercing damage (make an attack roll for each one). However, it's activated by fully extending the arm, so don't extend your arm till you want to shoot."
34,The Venomous-Spider-In-A-Glass-Orb Launcher! Just don't drop the ammo!
35,"Whirlypack: A large, heavy backpack with six differently colored ribbons attached. When you pull a particular ribbon, something happens. Red: A 3' metal pole extends upward from the backpack or, if already extended, retracts. Blue: Three large metal blades pop out from the pole or, if already unfurled, retract. Yellow: The blades start spinning. If pulled a second time, they speed up; a third time, they speed up even more; a fourth time, they slow down and eventually stop. Green: A series of small lights running up the pole illuminates; pull it again and they go out. Purple: A flashing light on top of the pole lights up and spins until it is pulled again. Orange: A siren blares. Unlike the other functions, the siren wails as long as the ribbon is pulled; it stops when you let it go. The intention is that the backpack will function like a helicopter. However, it doesn't provide enough lift, even if you're gnome-sized. It's more like a ceiling fan in a backpack, and to that end, it does provide a pleasant cooling breeze. The backpack is powered by lamp oil; one flask will allow it to run for a full minute. (The fuel tank is only large enough to accommodate one flask at a time.) When running, it's quite loud and frequently belches foul-smelling black smoke. If properly employed while falling, the backpack will slow you down enough that you won't take damage, at least until it runs out of fuel (in effect it functions as per a Feather Fall spell). The spinning blades may prove troublesome to foes (and friends) in close combat. Obviously the ribbons are intended to be pulled in the correct order, but given there are no instructions or labels, most likely players will pull the wrong ribbon, which could lead to damaging the mechanism or worse -- for example, if you pull the Blue ribbon before the pole is extended, the blades will pop out, likely skewering whoever is wearing the backpack."
36,"Fireball Flamejet: A reinforced crystalline ball with a hole in one side and a tube protrusion on the other. When a fireball is cast into it, it spurts a jet of flame up to 1,200 feet away that does half the fireball's damage. However, it was only tested with low level casters so more powerful fireballs may cause it to shatter and have the fireball explode in place."
37,"Yuan-ti Finger Trap: If used by one creature: Fail a DC 13 Dex save (or voluntarily fail) to activate the finger trap by holding it between your two index fingers. Then succeed on a DC (20- Int Score) strength check to be able to escape. If another creature is proficient with int saves, they can use the help action to make the DC to escape equal 1. If used by 2 creatures: the enemy must make a DC 13 Dex save against being trapped. To escape, the winner must succeed on a contested Int check against the other creature. Every time you attempt the check and fail, add one more d20 of disadvantage."
38,"Whistle of (1d8, 1: Dragons, 2: Giants, 3: Undead, 4: Fiends, 5: Aberrations, 6: Monstrosities, 7: Fey, 8: Elementals) Summoning: On it it's written in Gnomish: 'Blow to Summon type of creature '. When blown, every creature of that type in a radius of 1 mile will hear the whistle and be bothered by it."
39,"A cup of infinite water. Or at least that was the idea. They just put a small portal to the elemental water plane on the bottom of a regular cup. Unfortunately, they did not think about water pressure, so anytime the (very securely attached lid) is removed, it immediately acts like a power fire hose. Make a strength check to open (the pressure keeps it very tight) and, if opened, make a strength or dexterity check to not go flying uncontrollably. You also have to make a strength check to close it."
40,"Wizzwalds Amazing Cube: This is a light cube made of brass approximately the size of 1/3rd foot by 1/3rd foot by 1/3rd foot. This cube effectively works as a spell magnet, if it is very close to the caster or target or between them, the spells will be redirected and absorbed by the amazing cube. The amazing cube technically has no limits on how many spells it can hold, but every time it absorbs a spell, there is a 10% chance (+ another 10% for every spell after the first it has absorbed) that it will expel ALL of the spells it absorbed in all 6 directions it’s faces are facing. This can lead to some incredibly chaotic results, such as shooting six fireballs out of all of its faces, and then flooding the area around it with water before shooting an eldritch blast at whatever targets are on the correct angles of the cube, or charming 4 separate creatures at once while also issuing a command creature spell making all of them drop their weapons. You can reduce the odds of the cube expelling its spells to 10% if you spend half an hour and expend a spell slot with it. However, any spells it absorbs after this will still add their bonus 10% chance."
41,"Henswallow's Handy-dandy Healing Handcrank: This small metal box has a hand crank with a wooden knob and is designed to be laced onto a belt. Once per day you can use an action to turn the crank as fast as you can. Turning the crank emits the noise of ball bearings rolling in an empty can that can be clearly heard up to 60 feet away and soft, white light begins to escape from the seams of the device. Once the crank has been used, at the end of the user's turn the wearer rolls 4d4. Odd numbers are subtracted from the wearer's hit points and even numbers heal the wearer."
42,"Dodecahedron of Listless Wandering: Once activated this 20-sided sphere 1/3 Khelgars across in size will levitate and move in a random direction at 60ft per round. A creature whose space the sphere enters must succeed on a DC 15 Dexterity saving throw or be struck by it, taking 6d6 crushing damage, and triggers a wild magic surge."
43,"Bouncy dynamite: It’s more fun to tinker then mine, but buying metals is a bit expensive. Maybe if we can get the dynamite to where it needs to be faster it will bring prices down. Just light and throw. Or go for the shock detonation version. Detonates in the, hmm, says on the box, an unknown number of hits, each stick is different, have fun discovering how many each need to detonate."
44,"Automatic Fire Starter: Tired of struggling to light your pipe or campfire with your clumsy mechanical piece? This automatic fire started is enchanted to light in proximity to wood, just bring the lighter up to your pipe and Voila, it's on fire. I might not have thought this through, I'll put it away. Oh, shit did I have a book in there? Yep, definitely had a book in there, I'll be right back, have to put out this robe."
45,"The Jumping Spear: A two-handed spear specially made for smaller races with a spring-loaded spearpoint and footplants on the butt. At any point a small creature can jump on the footplants and slam down to cause the spear to explode violently forward with or without its wielder. Whenever a wielder uses this feature, they must make a check to remain holding the spear. However, on a success it does an extra die of damage on a hit, or alternatively propels the wielder up to 15ft into the air and 30ft horizontally. ——— It’s a pogo stick with a spear attached to it essentially."
46,"Landslide Module: 100lb drill attached to a clockwork mechanism with an explosive core. Once activated landslide module borrows into the earth in a random pattern (roll dice for direction?) dealing and taking damage until it explodes. Great for mining, demolition work or guerilla warfare."
47,"Punfky's Flying Machine: A glider made from spider silk. Enchanted to cast gust (a 30-mph wind if my math’s correct) 30 feet behind and under the glider. It... works, in the way everything works. Let's just say it's not the most stable thing in the world."
48,"Gordex's Elevating Slippers, Lesser: The wearer of these rainbow-colored slippers may activate the slippers as a free action once daily. Upon activating these slippers, the wearer is instantly elevated vertically d6 ×10 feet into the air. During the ascent, the wearer may attempt to grab onto a ledge or any object they can reach as a DC 16 dexterity check. If the wearer has not grabbed onto anything at the end of the elevation, they begin plummeting to the ground and take falling damage as normal. Note: There are rumors that Goredex created a greater version of these slippers, but by all accounts, they were destroyed when Goredex impacted a moon."
49,"Nigel’s Knackered Knife: A knife with the properties of the Ice Knife Spell, which will activate... eventually."
50,Havel’s Handy Hoppers: A bag of caltrops that bounce around like rubber balls once thrown.
51,"Viflicks Incredible Disk: The ultimate Frisbee to keep any sort of beast occupied for hours. Unfortunately, it doesn't actually stop once thrown. Not until it hits something solid like a mountain..."
52,"Reginald's Rock Cracker: A magical war pick commissioned by a dwarven mining guild. Has 4 charges that restore every day at dawn. Every time the pick successfully hits, it expends a charge and casts shatter at 2nd level focused on the tip. Earplugs recommend."
53,"Traveler’s Survival Compass: This small metal cylinder shoots out a number of sawblades to harvest firewood from small trees. Subsequently it fires a gout of flames roughly the same direction to create an instant campfire. This handy tool also provides a sleeping solution, by spraying a large volume of quickly expanding foam for bedding, and it ensures safety at night by periodically sounding an alarm and flashing lights for the user to wake up and survey their surroundings. Gnome-corp is not responsible for any accidents involving faulty compasses and/or flammable bedding. The deluxe version comes with extra sawblades, scented flames, flavored bedding and a variety of alarm sounds and lullabies."
54,"Chilla's Speed Sheath: If a blade is put in this sheath, a small tug will make an opening in the sheath and propel it forward making your initial attack much quicker. Good for surprise attack, unless you are not good enough to make the DC 15 Dex saving throw to prevent it from flying out of your hands or getting lodged into your body."
55,"The Boomstick: A large club with an opening on the bottom which is filled with explosives and a trigger on the top to make them go off. Just a shame that the club isn’t always sturdy enough to take the explosion, so its recommended the user wears some armor to protect them from surprise shrapnel. Oh, and make sure you can stand your ground, the recoil is terrible."
56,"The Excessively Thin Hat of Excessive Cool: It keeps the character cool in extreme heat, but if the temperature is any lower than extreme heat, the character starts suffering from extreme cold."
57,Harry's Heating Gloves: Wearer can wear the gloves to heat up whatever they are holding. If powered on for too long the gloves melt onto the wearer’s hands.
58,"Gilgam's Self-Replicating Rodent Remover: a tiny construct that pursues its designated target and 'removes' it. If multiple targets are detected within its range, it will seek out materials to construct copies of itself. If in the course of locating said materials it finds other targets, then it will add those targets to its list while increasing the number of copies needed to cope with the added number of targets. The off switch is conveniently located on the roof of its mouth."
59,"Hellfire Sphere: A black sphere with a button on it. When the button is pressed, the sphere turns glowing red hot and melts through anything it touches. If not deactivated, it will eventually melt its way through any container holding it, and any surface it is placed on (including the ground). The button, which has to be pressed again to deactivate it, also melts anything it touches."
60,"Wind up Mimic: wind it up and set it down in a room, watch it transform into something inconspicuous. Oh, but make sure not to take your eyes off it or leave the room."
61,"Gloves of Burning: Only function if in contact with the user’s bare skin: on a successful melee unarmed attack wearing the gloves, everything in contact with the gloves takes 2d4 burning damage."
