d100,Entry

1,BEES: Bees are everywhere. You can't see or hear properly because of the storm of bees clouding your senses.
2,The last person or monster you killed is back and its coming for you.
3,You see the least scary thing you can imagine and are utterly terrified.
4,"Everything is submerged in water, but nobody else seems to recognize it."
5,Strange geometric shapes dance before your eyes.
6,A monster with terrifying scythe-like fingers sneaks up on your party members and harvests their arms to eat. None of them notice their missing limbs.
7,"There is a worm in your chest trying to eat its way out. You can’t feel it, but the skin on your torso ripples as it burrows beneath."
8,A deep purple fire is consuming the world from the horizon in.
9,The sun is growing brighter and hotter as you speak.
10,You are standing in the middle of a green field of grass dotted with flowers. Nothing could possibly harm you here.
11,"Life is a ruse. Everyone had marionette strings extending upwards from them, anything near you is a wooden prop, and anything in the distance is a painted backdrop."
12,"The entire world is on an island, and you see an eldritch monstrosity watching you from the sea."
13,Someone is calling you names. You want them to stop but you can’t tell who it is. Is it that shopkeeper? Your party’s cleric? The dog?
14,"Grinlock: You look around your party and see that one person appears to be functioning normally, but their eyes have rolled into the back of their head and their mouths have opened in a manic smile to the point that their jaws are straining not to break. People seem to get more and more jittery and begin to twitch and spasm at the corners of your vision. Eventually, nobody speaks. They simply open their mouths in this same manic smile, and almost vibrating in spasms. A cold feeling of dread comes over you as they all turn towards you before being shaken out of a stupor by your now perfectly normal party members."
15,"A rust monster appears. If multiple PCs are present, it should appear in a place that only the hallucinating PC has line of sight. If there is no such space available, the PC should roll a bogus Perception check to ""spot"" the rust monster."
16,"The hallucinating PC can ""see the Ethereal Plane"" overlaid on the Material Plane, and watches as frightening, wraithlike figures move slowly towards other members of the party, claws outstretched."
17,"All creatures suddenly vanish--no visual, auditory, or tactile stimuli can reach the PC."
18,The PC hears a dull crunch as a fine hairline crack appears on her melee weapon.
19,"The PC's skin begins to wriggle, then suddenly undergoes a rapid transformation. The change should be aesthetically in keeping with the source of the hallucination (ie, if due to spores, the PC's flesh becomes fungus-like; if due to poisonous vermin, his body becomes chitinous)."
20,"Colors turn more vivid and out of the corner of your eye, objects dance and laugh at your expense."
21,"Ask the party at the start of the session, ""what dangers are you worried about facing?"" Take the most appropriate one and hint of it's passage."
22,"You are slowly turning into a gelatinous cube, and no one else has noticed yet, but when they do, they will hunt you down like just another monster."
23,Your weapons are whispering. So are the other's weapons. They are going to come alive and kill your party when you sleep.
24,"By the fire, your eyes are drawn again to one of your companions. They are sleeping soundly, but one eyelid is flickering... as you get closer, the eyes spring open, and smoke comes pouring from his eyes and mouth. One hand reaches up to grab at you, and a cruel smile flashes across his face. ""So hungry... so tired of waiting..."" he says, in a deep rumble."
25,Your flesh warps slightly and ripples as if something is crawling beneath it.
26,"You see something shadowlike at the edge of your vision at night but every time you look it it, it disappears. Eventually it starts occurring even in the daytime. As time goes by, dreams of Shadows and whispers amongst a crowd of the living haunt you. The living continue on with their lives as if they are blind to these shadows who stare at you with bright, searing red eyes."
27,A voice is very quietly chanting in Infernal. It seems to be coming from overhead somewhere.
28,"When the tavern door opens, you realize everyone inside is a child dressed in adult clothes. Stepping across the threshold, you become a child in adult clothes."
29,You can't feel your legs. Why can't you feel your legs?
30,Everyone is whispering about you.
31,There is always something moving about in the shadows in the corner of your vision.
32,Eyes in paintings and statues seem to follow your every movement. If you're quick enough you can just catch them snapping back to their original positions.
33,The walls are breathing at the same rate you are.
34,The barbarians fur cloak is still alive. You can see it looking forlornly at you over his meaty shoulder.
35,"As you are talking to the shopkeeper, her skin begins to blister and slough off, until nothing remains but a bloody skull, still talking animatedly to you."
36,"Every time you look into a mirror, your reflection beckons you closer. If you press an ear against the mirror you can just make out ""you need to wake up!"""
37,"There is a large purple cat following you. It sometimes walks through solid objects, but seems solid enough when it brushes your leg."
38,"Everything fades and you find yourself sitting at a table in strange clothes with no armor or weapons. Your friends are dressed similarly, piles of books and papers in front of them as they watch, expectantly. You hear the roll of a die and at the head of the table a god shrugs and says ""Your PC's hallucination wears off..."" You wake up confused."
39,"Every time you are the only character to have LOS to a point within 100 feet, AND that point is within 10 feet of cover, you will, if that point is in your peripheral vision, see an ordinary chicken, walking toward the cover, pecking at the dirt. If you go to investigate, the chicken will have vanished, but there is some ambiguous trace of its presence: a fluff of down, some marks that might be tracks. If a point where the chicken might appear has a trap, treasure, secret door/panel or clue, have the character make a DC 15 Perception check. On a success, the chicken appears, and squawks or flaps its wings. After the third time the character finds something because of the chicken, escalate the delusion: now, the chicken's appearances and traces are clearly sending them a message that needs to be deciphered."
40,"You see your mother in a state you never hoped to see, even when you close your eyes the images are still there."
41,"After all these years you see your parents, they say that they didn't died/left and that they love you and will never leave you again."
42,"All of a sudden all the cats in the area start vomiting, all manner of objects sprout menacing spikes of stone."
43,"Suddenly, out from one of your pocket an elongated gnome pours forth, screaming the whole way out. Once outside, he turns to face you and starts mumbling, gargling and convulsing, only to, in a show of pyrotechnics, explode into a hail of many smaller versions of himself. One by one, they rise and start to run towards you, grabbing onto your clothes. They press themselves to you and stay there, crying profoundly."
44,"The next adventuring party you see are assassin's out to get you. They have duped your party, your friends and your family, but you know their true agenda."
45,"Your hands have become ethereal. Make a wisdom save for holding on to the equipment in your hands, and to pick up any equipment with your hands. On a failed save, drop it. Lose this condition after 2 succesful saves."
46,"Everything is a mimic. Make a wisdom saving throw whenever you are entering a room. On a failed save, attack a random piece of furniture. After rolling 5 saving throws, lose this condition. Reapply the condition if you actually attack a real mimic."
47,Your body becomes lead. Your movement speed drops to 5ft and all your attacks are made with disadvantage. You gain 2AC. Lose this debuff when you have taken 2 dash actions.
48,"A familiar hand rests on your shoulder. You hear them say that they love you, and that they have so much they would have told you if they had the time. If you stand still until they remove their hand (1 turn), regain 2d4+2HP. If you turn around, a faint wind blows past you, but noone is there."
49,"Colourful frogs start raining from the sky. Make a dexterity save. On a failed save you get pelted by poisonous frogs, gaining the poisoned condition. After the rain stops, the frogs melt away."
50,Your fingernails are missing. You cannot recall losing them. When you try to show this to someone else they are back in place.
51,Under the object/piece of furniture is a pool of blood of unknown origin. Other party members merely the shadow of the object.
52,Your blanket convulses and is a few inches closer to you then before it moved. Nobody else was looking that way and any spells would reveal no magic that would make it move.
53,"Tchotchke's Splendor - any room will occasionally feature an item or items of exceptional usefulness or value, seen only by the hallucinator. The number of false items increases as the room grows more cluttered. A well-organized room may have a small golden statue appear, for example, but a messy room could hold several arcane tomes and magical weapons. If the afflicted touches one such item, it instantly turns to a thick, foul-smelling ink that appears to stain their hand and any other items on contact. In reality, of course, nothing happens."
54,"The walls start to close in on you. If there are no walls, the ground raises to trap you."
55,You vomit a stream of teeth.
56,"The sky/ceiling becomes red, and you see the silhouette of a monster."
57,Everyone you see is your clone.
58,You see odd psychodelic color patterns.
59,Tons of insects raise from the ground.
60,Everything around you suddenly looks dead and barren.
61,"Everything suddenly becomes happy, colorful and cute"
62,Objects start to insult you. Really bad insults.
63,"While you are lying in bed, a completely black humanoid figure sits on your chest. You can't move and it is suffocating you with its weight."
64,You see transparent wiggly lines like eels flying across the sky at impossible speeds.
65,Rodents dart along the ground out of the corner of your eye. You can't turn your head fast enough to see them properly.
66,"You heard someone call your name, but it's no one."
67,A strange metallic taste fills your mouth.
68,"You have the sudden sensation of floating behind your body, observing yourself in third person."
69,"Something like a bug is definitely crawling on your skin and biting you, but when you look you can't find the cause."
70,"You clearly heard a person say X, but everyone else present insists the person said Y."
71,The whole world takes on a reddish hue and everyone's voices sound tinny and distorted.
72,You go to put on your boots and you see a snake coiled up in them.
73,A classic parade of pink elephants is marching by.
74,"All your pores expand to a large size and you can see in them. Dirt, bugs, and dust are falling into them."
75,"A radish suddenly flies into your mouth and begins forcing its way down your throat, choking you."
76,"You see above a planet, lit by no sun, all wide turbulent oceans and deep black forests and jagged, piercing mountains. A low hum sounds in your ear. The planet takes up more of the sky- you can’t look away from it. It fills your field of view far beyond what should be possible. Something beneath those black seas slithers, hunting, hungering, starving. You blink, and the feeling is gone."
