d100,Entry

1,"The afflicted thinks every other creature is more powerful than it, and treats them with either respect or fear."
2,"The afflicted thinks its power became overwhelming, and hardly ever attacks out of fear of breaking the world."
3,"You realize you are in a game, and everything that makes you the person you are is just a collection of numbers and a few sentences on a sheet of paper."
4,The insane person suffers from extreme paranoia and treats ALL creatures as 'hostile.'
5,"The afflicted has memory issues. Whenever he needs to remember something, roll a d4. If the result is a 1, the person forgets everything about it."
6,"The afflicted is bipolar. Every 1d20 hours, roll 1d10. If the result is even, the person acts overly friendly. If it's odd, the person tends to be aggressive."
7,"The effected believes everything to be a conspiracy- this town is run by doppelgangers, the king is a dragon in disguise, the Gods aren't real, etc."
8,The effected develops a pathological hate of ducks.
9,"The effected suffers from autocannabalism, and finds the taste of their own flesh more delicious than anything else."
10,The effected hears the constant sound of rolling dice.
11,The effected hears the voice of their grandmother (or similar familial character) occasionally telling them to kill people.
12,"The effected doesn't feel safe alone, and will panic unless accompanied by another character."
13,"The effected develops triskaidekaphobia, an irrational fear of the number 13."
14,The effected develops a drinking problem.
15,"The effected suddenly overcomes an addiction or other character flaw, then suffers a violent outburst 1d4 days later."
16,The affected develops trypophobia.
17,"The character develops narcolepsy. Every 1d20 hours, roll a 1d8. If the result is 3 or lower, the character falls asleep for 1 hour, and sleepwalks 1d4 x 20 feet in a random direction at any moment during that hour."
18,After taking damage the afflicted behaves as though under the confusion spell the following round.
19,The affected person seems to think they have switched bodies with the first person they see every day.
20,"The victim, in their madness, cannot comprehend words unless spoken completely backwards."
21,The affected has an unnatural obsession with black hair.
22,"The affected person sincerely believes they can cast the Wish spell at will, and tries to cast it frequently."
23,"The afflicted grows to believe their skin is incredibly durable, and refuses to wear armor of any kind."
24,"The affected, when addressed by name, will paralyze themselves in fear until left completely alone."
25,The maddened individual will feel compelled to spout nonsense in the middle of their sentences.
26,The character now only talks in third person.
27,"The PC can see and hear other NPC(s) interacting with them sometimes, only they are actually hallucinations. The PC is unaware that they are hallucinations to start out, but may learn that later."
28,The afflicted finds everything to be absolutely delicious.
29,You start with nightmares of charnel hounds catching you and tearing at your flesh. Upon waking you can still hear them growling and breathing behind you. The symptoms become so severe that you hallucinate being attacked by the hounds and can feel pain (1d6 psychic damage) when they bite.
30,Your character develops the paranoid delusion that a random party member is always watching them.
31,"Your character is convinced they are a Lycanthrope, and will seek out a cure. On a full moon, they will shed their clothes and try to bite people. If your character IS a Lycanthrope, they believe they aren't."
