d100,Entry

1,"A lute that was carved from an enchanted tree. When played, the illusion of sheet music and music notes can be seen flowing around the player."
2,A set of reed pipes made by a Satyr. Their sweet and mysterious sound grants disadvantage on saving throws to resist being charmed by the musician.
3,"A vuvuzela that, when blown, sobers every person up within a 20 foot radius."
4,"A tuba that spits out water, the pressure is determined by the quality of the music."
5,A comically long recorder that's long enough to be used as a functioning quarter staff.
6,The Hydrophary - A species of aquatic plant that is vaguely octopus-shaped and can be played like a bagpipe. It wiggles its tentacles with delight when played.
7,"Any type of string instrument that, when the command word is spoken, turns into a type of axe. The size of the instrument decides what type of ax it is: violin is a handaxe, guitar and lute are battle-axe, and bass is a greataxe. Speak the command word again to revert back to instrument."
8,"The Phomenflumphen: You're not sure what this is. It appears to be equal parts accordion, bagpipe and drum. The Gnome playing it seems to know what they're doing though. Without training, all checks with this bizarre instrument are made at disadvantage."
9,A conductor’s baton that allows you to shift the pitch of someone talking to make it sound musical.
10,"Cetacean Song - An ocarina seemingly crafted from snowflake obsidian that produces some decently low notes, and is shaped somewhat like an aquatic animal of some sort (inspired by this)"
11,"Conductor's Instrumental - At first glance, it just looks like a typical conductor's baton. However, depending on the direction and speed it is moved, it will softly hum a note."
12,"Hidden Headbanger - It doesn't look like too much, just a simple polished wooden 6-string guitar. When a bard plays it, however, it sounds as if it were an overdriven electric guitar. Has a disclaimer on the bottom written in small text: 'FOR THOSE ABOUT TO ROCK'"
13,"Zamchroma - A zampogna with tubes made of a special glass that 'catch and toss' light that passes through them, giving them the appearance of being made of solidified and slowly shifting rainbows. It produces notes that echo very slightly, and overall sound heavenly or ethereal in nature."
14,A saxophone with special compartments for storing rations. A snacksophone.
15,"The Dread Lute - Found deep in a dungeon on the corpse of a powerful bard. The wood is rotting and the strings are long gone, but “playing” it still produces beautiful music, as if it were brand new."
16,"The Flute of Love - The mage who sold this to you said it would make any listener fall in love. That doesn’t seem to be true, but any music you try to play comes out as the same love song, every single time."
17,"Goblin Drums - A pair of small hand-played drums that can be worn around your neck with an old bit of rope. Whenever you use them to grant inspiration, any goblins in earshot also become inspired."
18,Chance the Rapier - This intelligent sword speaks with incredible creativity and rhyme. You can sing along with it to get the same benefits of a bardic instrument.
19,An enchanted accordion. Whoever plays it will slowly but steadily increases the tempo of whatever song they are playing.
20,A Stroh violin with the horn decorated with dwarven runes.
21,"Namic's Bladder - A set of Uilleann Pipes, black as ebony and with an incredibly clear sound. Said to have been created from the bones and bladder of a Black Dragon by Hersem Grelelian, who defeated the dragon on the way to her wedding and presented them to her husband."
22,"A member of the violin family made out of iridescent ivory. It changes sizes and transforms into the different forms of the family depending on the phase of the moon, starting as a violin on the full moon and growing into a double bass by the new moon."
23,A very worn looking banjo with the peg head made out of a carved piece of driftwood. Grants the performer the benefits the rustic hospitality feature with anybody that listens to a successful enough (DC 14) performance using the banjo.
24,A foldable grand piano that also doubles up as a boat.
25,"The mouthpiece of a flute. When held to the mouth, the rest of the flute is revealed. It's ghostly blue and produces sweet but strangely sad notes."
26,"A small flute carved from bone. When played, it sounds like a massive pipe organ, and even the liveliest of tunes has an unnerving, ominous tone."
27,"Shoes of Tap: Tap dancing shoes that when you click the heels, as bonus an action, allows one to tap dance on any surface. Movement speed decreases by 10, because you are dancing, but ignore difficult terrain, can dance on water, and can dance on walls when tapping magic is in use."
28,The Pipe Pipe: A smoking pipe that doubles as a playing pipe. If you smoke and play at the same time you can magically control the shape of the smoke.
29,Brass Plate: This large brass instrument wraps around you and acts as plate armor. When you roll a 1 on sneak the instrument starts playing mocking music as you move.
