d100,Entry

1,A massive bubbling cauldron. Inside it is a disgusting mixture of god knows what.
2,A small collection of caged rats.
3,A overflowing jar of teeth.
4,Eyes of various creatures.
5,An active mirror of life trapping.
6,Dust of sneezing and choking.
7,"A small child, apparently unharmed."
8,"A drum, covered in a mysterious skin."
9,Paintings and sculptures of prominent townspeople.
10,A deep water well built into the room.
11,An Ogre or Giants severed toe.
12,The still beating heart of some unknown humanoid.
13,A talking skull.
14,A set of giant steel manacles that look like they could hold a giant.
15,A petrified gazer.
16,Seven jars filled with blood. One of them has recently been emptied.
17,A plant pot containing a Shrieker that screams when you touch it.
18,A crate filled with rotted children’s clothing and old toys.
19,Six inches of orange tinted water on the floor.
20,A ball of snot-like sludge hanging from the ceiling.
21,A chest with an ungodly amount of sweets.
22,A book full of delicately preserved wings from butterflies and other small insects.
23,A cyclops’ eye that has a bite taken out of it.
24,A back scratcher made from a severed bony hand.
25,"A pin board of insects found in the swamp or Underdark, like strange beetles."
26,"The preserved, leathery head of a dwarf."
27,"A strange jar of cultured jelly. Upon closer inspection, you find it is a tiny-sized ooze or oblex in a jar."
28,"An eyeball in a tube of yellow viscous fluid, sealed with a cork. The eye moves and looks around."
29,An old tarnished silver bell. Ringing it casts Toll The Dead once a day.
30,A copper ring in the dirt that has a rat's chewing marks in it.
31,"A jar with an overweight toad crammed into it, that sings when lifted."
32,"Half of a beehive covered in Infernal writing. When the honeycomb is broken, an Imp is summoned."
33,"A scruffy, scarred pigeon that nests in the rafters. Its regular sounds are replaced by snippets of the hags voice yelling insults."
34,"An Annis Hag has a huge rusty nail, the length of a forearm. The person holding it feels paranoid and cruel, but gains advantage on Perception checks."
35,"A skull of any local beast, a candle melting upon it. When the candle is snuffed out, the eye sockets glow red. It then materializes the rest of the body as a specter, until the eyes are gouged out. The candle will then re-ignite. While a specter, the creature is a neutral undead, and simply watches and wanders about, being all spooky. Works best as a small creature, like a cat or raven."
36,An unusually large slug in a cage that produces extremely sticky ooze.
37,A small garden growing a bunch of weird herbs.
38,A large alembic which is currently distilling a medium ochre jelly.
39,A display case of flattened beast ears arranged in such a way that a distant observer may mistake it for a butterfly display.
40,A dresser whose drawers are overflowing with loose hairs. A player who searches through the hair will find a vial of antitoxin.
41,A mannequin wearing a crusty set of fine clothes which appear to have been soaked entirely in blood which has now dried completely. There are no visible stains on the mannequin.
42,A bird's cage containing a wererat.
43,Bones from humanoid hands which have been fastened together into a headdress.
44,"A shattered mirror. The mirror shows a decaying and zombie-like version of the players, but a beautified version of the hag."
45,Chicken feathers sticking out of the ground in bizarre patterns.
46,A wooden chest with a beating heart in it.
47,An apple that reveals itself to be rotten if eaten.
48,A dead bird tied to the ceiling.
49,Glass orb containing the souls of screaming children.
50,A suit of armor that was once a man.
51,People converted into anthropomorphic kelp.
52,Tentacle from a vampire squid.
53,Eye of newt jar. Half full.
54,Dried batwing.
55,"A cursed gold chain necklace. Once put on it cannot be removed. When the wearer speaks a lie a link is magically removed from the chain, the link clatters loudly to the ground. Lie enough and it begins to choke the wearer."
56,"A journal by a young lass from a hundred years ago. The entries are positive, optimistic, romantic. Somewhere in the her late teens she falls in love for a fellow and at the same time she's visited by nightmares, headaches and visions. Strangely the visions darkly warn her that her lover is dangerous, something she refuses to believe even when other things she sees in them come to pass. She writes that she plans to run away with him before the journal abruptly ends. A knowledge check might reveal that the symptoms she describes are signs of a changeling coming into her power on the path to becoming a hag."
57,"A freshly baked pie, its crust perfectly buttered."
58,"A bouquet of flowers, suspended upside down to dry, smelling pleasantly of notes of lavender and rose buds."
59,A jar of candy wrapped in brightly colored wax paper.
60,"A cracked hand mirror, which always shows a shadowy figure to be standing behind the one looking in it. Sometimes, the figure moves."
61,"A child's patchwork doll, missing a button eye and stained in blood."
62,A starved and maimed goblin in an iron cage. He rattles the bars rather than react to the visitors. It is clear it went mad long ago.
63,An immortal monkey that looks normal but quickly reveals his undead nature in the moonlight.
64,"A massive tapestry hung from the wall. Strange symbols and stranger images fill every space, chaotically strewn about the threadwork with no apparent pattern. No centralized theme or focus can be made out, but the likeliness of several important figures and deities can be made out amongst alien creatures and other, unknown people. The tapestry is unfinished on one side, making it obvious that the project is still a work in progress."
65,"An almost person-sized hourglass dangling from a rope tied to the ceiling. In place of sand, tiny teeth of all shapes and kinds flow between the two bulbs, each one glowing with a faint red light. The flow of the device switches directions at random times for no visible reason, with no bulb ever holding all the teeth."
