d100,Entry

1,Pocket sand.
2,A folded piece of leather containing several pieces of blank parchment (A wallet with a checkbook)
3,An Aegis of Recovery; the NPC is unaware of its purpose/doesn't know it has to be worn to work 4
4,A diary/journal that goes in detail about the NPC's life. Further inspection reveals that there is one or two minor magic scrolls between some of the pages.
5,A bag of various gems and jewelry equal to about 300 gold.
6,"A key, with no information of what it is used for. Turns out to be a key stolen from a guard that opens the keep."
7,"A piece of cheese, half eaten."
8,A golden ring worth 100gp and a note 'today's the day!'.
9,"A few small pieces of wood, made to look like silver coins (same shape, size, markings), among some actual silver pieces."
10,"A fishing hook, roll a DC 20 dex save to not have your fingers on it and yell out in pain with your hand still in the pocket."
11,"A love poem, yet to be delivered."
12,"The transcript of an ancient prophecy, describing a heroic person looking a lot like one of the players."
13,"A brass signet ring given to members of a guild or cult. There is an engraving on the inside that says 'Don't be a jerk,' in dwarvish."
14,Nothing. The pockets open to bare skin.
15,"Warrant for Arrest: The warrant depicts an illustration of they who fell the villager, with a DEAD OR ALIVE bounty of 500gp."
16,"‎Keyring of Tools: This savvy farmer had a wizard shrink each of his farming tools (shovel, hoe, scythe, axe, plough, pitchfork, and rake) to the size of keys for easy transportation. Whenever he needed them, he simply popped them off the magical ring."
17,"‎Coin Pouch Empath: A peculiar thing of leather and string, the coin pouch empath is sad and forlorn when empty, but overjoyed and greedy when full. These emotions pour into who so ever carries it."
18,"‎Take Me Back to Sea Shell: Seemingly innocent pocket fodder of the nostalgic seaman, this shell carries within it the sound of the nearest sea, including lively docks, bustling markets, all of sea-kind, and intelligent voices. More time spent listening delivers greater insight into actual discussions, known creature calls, and suggestions of tide and weather– but beware, some Take Me Back shells are known to maintain a feisty crab!"
19,"‎Anti-Theft Stitching: Those quick to trifle will find their wrists stitched in this anti-theft pocket lining! The leather sack wraps tightly around the wrist with magical strength, rendering the hand useless like that in a bag. The pocket bag can only be opened by command of the pocket's owner or the tailor who set the trap. The leather is not so sure to be easily removed– the trap tightens at the wrist with any attempt."
20,"A small piece of parchment with the words 'Dear (npc's name) I have always loved you. If you love me back, please meet me at the tavern tonight. If you are not there, I will understand'."
21,"A small bone knife carved with runes and pulsing faintly with magic, this hobgoblin good luck charm allows one to reroll an attack roll or any skill check involving a melee or ranged weapon once per day."
22,A palm-sized brass coin from a distant Fire Giant city. This Giant coin is equal to 1d4+1 Gold Pieces if you can find a money changer who will accept it.
23,A paper napkin with a few stanzas of poetry or a partial diagram of a machine scrawled on it. 24
24,A piece of chalk and a ripped parchment with Infernal runes and part of a magic circle drawn on it.
25,"A crystal eye, always warm."
26,"A bag full of coins, each one from a different country."
27,A deck of unique cards and a booklet with instructions to play a game of war with them.
28,A leather bag full of seeds.
29,A paper with the last thing a PC did or said to the NPC written on it.
30,A strange cube with buttons on it and cogs.
31,"A roughly scribbled map on a piece of parchment, folded up three times."
32,A feather.
33,Shimmering dust in a vial which after some investigation appears to be the remains of a will o wisp.
34,"An old love letter, neatly but repeated folded and worn from age."
35,"A small, simple pen knife. The handle is old and the wood is worn so that the maker's mark is no longer visible. 36"
36,A poorly made rope doll with button eyes and frayed yellow cloth for hair.
37,"A tiny nugget of fool's gold, worthless."
38,"An empty tinder box, the insides are scorched black."
39,A sky blue baby's bow.
40,A folded piece of parchment warning citizens of pick pockets.
41,A coin purse with a message in thieves cant. The message warns the thief to return the purse or else.
42,An invitation to join the local thieves guild.
43,Used handkerchief.
44,A bottle cork with a small blue star inked on the bottom.
45,A gold coin hidden in a loaf of bread.
46,A snotty handkerchief.
47,Some crumpled handwritten receipts for goods and small change.
48,"A spare pair of clean, but clearly old underwear. Turns out the pocket owner has incontinence and brings backups for accidents."
49,A magical anti-pickpocket snaptrap. It snaps on the thief's fingers loudly and painfully with needle-like teeth and turns the thief's hand bright purple as though indelibly dyed.
50,A half-eaten bread snack wrapped in leaves.
51,A wrapped sandwich.
52,A lovenote (from whomever the DM decides.)
53,A 'Pocket' dimension the size of a pocket.
54,A key to a secret lockbox kept under the NPC's bed.
55,"A small knife in a deerskin wrap. The handle has another NPC's name carved on it, surrounded by little hearts."
56,"A sealed scroll. Depicts an expertly drawn image of a rude gesture, captioned by the words 'Fuck you, buddy.' The text is magical and can be read in any language, so the scroll detects as magic before you open it."
57,A half eaten ham sandwich.
58,The perfect skipping stone.
59,"A big turkey leg, like the size of a large man's hand."
60,A tiny violin.
61,Auto-high rolling dice.
62,A closed thimble filled with cabbage soup.
63,"A small, malleable ball of fluorescent green... something. Aside from molding it with your hands, you can exert your will onto it to make finer shapes."
64,"A handkerchief, heavily used."
65,A small pouch of nuts and dried meats.
66,"A vial containing something resembling soot. If identified, it is revealed to be a vial of ashes."
67,"A small hoard of sheets of paper, all seemingly collected from the corners of posted notices; none are larger than a square inch."
