d100,Entry

1,Bleak Star
2,Azure Dream
3,Finality
4,Finisher
5,Magnar
6,Cosmic Ascension
7,Final Words
8,The Highroler
9,Twilight Tempest
10,Shining Malice
11,Dawn Reach
12,Blood Spiller
13,Skull Splitter
14,Tyrant's Demise
15,Crimson Immolation
16,The Whispering Wind
17,Silence
18,Sadium storm
19,Harmony
20,Pain
21,Quasar
22,Soul biter
23,Callous Cleaver
24,Dark Omen
25,Lifeender
26,Judgment
27,Gravedigger
28,The Euphoria Delirium
29,Deus Vult
30,Author of Death
31,Hereafter
32,Shield Breaker
33,Elysium
34,Widow pulsar
35,Heart Seeker
36,Abyssal lurker
37,Rapture's Gate
38,Stonesplitter
39,Thunderchild
40,Diplomacy
41,Icebane
42,The Dancing Edge
43,Bleeding Heart
44,Sloth’s Bane
45,Magnum opus
46,Orcbane
47,Oblivion
48,Demonica
49,Valor Heart
50,Sacrifice
51,Unhappy Ending
52,Kingmaker
53,Shadow Ravage
54,Arcanium Annihilator
55,Cleaver
56,The Maw
57,Abaddon
58,Dire Vanquisher
59,Shard of Odium
60,Stromen Richter
61,The Remorseless
62,Innocence' End
63,Ice Finger
64,Justice
65,Vantum Phoenix
66,Gleaming Death
67,Reaver
68,Last Rites
69,Head Hunter
70,Tranquility
71,Herald of Mercy
72,Screaming whisper
73,Curse Crusher
74,Heartseeker
75,Nightweaver
76,Astral defender
77,Nova
78,Black Scarlet
79,The Blackwind
80,Vengeance
81,Ravenous Destiny
82,The Crimson Solace
83,Dragonsbane
84,Heaven's Grace
85,Devilish Dicer
86,Awakening
87,Lord's Will
88,Backblade
89,Gore
90,Holy avenger
91,The Ending
92,Void's kiss
93,Black Razor
94,Scarlet Rain
95,Iron Steed
96,Blood Drinker
97,Time Raider
98,Red Fang
99,Fate's Last Dance
100,Silence of the Dawn
