d100,Entry

1,Two crew are fighting over who gets top bunk. They are at each others throats! Maybe this is about more than the bed?
2,There is a rat aboard your generally rat-free vessel. So far it has eaten half a sack of rice and 5 loaves of bread.
3,"Your navigation equipment is slightly miscalibrated. By the time you've noticed, you're already a day behind schedule."
4,You are about a day short on rations. The crew will survive but you've got to find a way to smooth it over with them or make sure they ever find out.
5,Two seagulls seem dead-set on making a nest at the top of one of the masts. This wouldn't be such a problem if they weren't pooping on the deck so much!
6,"You see a rift with a dead, dehydrated body on it. The rift has clearly been made on a deserted island. There is a coconut with painting on it that make it look like a face."
7,"You arrive on a site where two ships fought. You see dead bodies and ship carcasses, clothings floating and other objects. -you see two ships fighting at the horizon, you can either investigate or continue on your way"
8,Someone finds a dress on board. Rumor is that there is a naked woman on the ship somewhere.
9,"No more water, only Rum left."
10,The wind stops for exactly 13 minutes.
11,"There are reports of ghosts aboard the ship. Upon closer investigation, it turns out a crewmate was drying his laundry on the ship's rigging at night."
12,there's a pod of adorable dolphins swimming alongside the ship and the deck crew are distracted from their duties
13,"There’s a leak! Not a major one, but whenever it rains water drips directly onto your bunk. Right in the middle of your forehead."
14,There’s a shy siren trying to lure your ship onto the rocks. She’s not doing a great job and honestly it’s just kind of awkward.
15,A very cranky albatross with a broken wing is now stuck on the deck of your boat and will flap aggressively at anyone who comes near.
16,Crew shortage requires two 12 hour shifts and watch instead of the normal three 8 hour shifts.
17,Rain for days.
18,The 1st mate finds the crew's secret liquor stash that the captain was pretending he didn't know about.
19,A female stowaway is found. The superstitious sailors see this as a bad sign and are arguing whether or not to throw her overboard.
20,"A game of bets leads to a crew member becoming rich, but can he survive the night?"
21,The crap' goes around the ship and half of the crew are laid up for the week. It's up to the party to fill in as deck mates and runners while the healthy crew run the ship.
22,"A small pirate skiff harasses the vessel. It doesn't have equipment to board the high sided ship with, but they verbally abuse the party and crew for several days."
23,A crew member painting the bow has accidentally broken off the mermaid figurehead. The superstitious crew refuse to work until someone other than them carves a new one. With questioning they admit that it has to be someone else because none of them have seen a woman in proper lighting for years.
24,"A goblin stowaway has been found. He has his own rations, and he isn't stealing anything, but be still shouldn't be there."
25,"There is a heated debate about whether the vessel you are on qualifies as a ship or is merely a boat. No one seems to have a definitive answer, and everyone is too upset to work."
26,The crew discover the ship's name is spelled slightly differently on each side of the prow.
27,It turns out the Bottomless Barrel of Grog is actually a Bottomless Barrel of Bog and is filled with an endless supply of peat.
28,"Two sirens with inverse waveform voices are attempting to lure the crew to their death. Fortunately, their voices cancel each other out. Unfortunately, the resulting turf war is making it difficult to navigate."
29,"The trade winds have been cursed! For a full day, they will not fill the sails of any non-mercantile ship."
30,"You arrive at a sea known for its high salt contents. For 1d any dice of the dms choice amount of days,any food the water splashes on will be contaminated with a high salt content, causing said food to invoke thirst into players and npc’s who eat it"
31,"Your boat passes under a cloud that was enchanted by a wizard many decades ago. When any boat passes beneath it, the cloud immediately begins raining (not a thunderstorm, just an annoying ordinary rainfall). The cloud follows the boat until a new vessel passes beneath it."
