d100,Entry

1,La Desollador
2,Tide Gorger
3,The Dragon Turtle
4,The Maidens Call
5,Reef Sprinter
6,Wrath of Umberlee
7,Northstar
8,The Prid Of The North (the bloke painting the name on the boat forgot a letter)
9,The Wavebreaker
10,The Morning Moon
11,The Mourning Moon
12,The Midnight Sun
13,The Ship With No Name (Don’t point out that surely that is it’s name because the captain will get tetchy)
14,The Copperhead
15,The last Plank
16,The Seaward
17,Centennial
18,Old Salty
19,Illithids Thrall
20,Helm's Harrier
21,Swift Sorcerer
22,Gibbous Crescent
23,Nightfall's Rest
24,The Darkmantle
25,The Whippersnapper
26,The Parched Parrot
27,The Grand Mast
28,The Red Thief
29,The Tall Maiden
30,The Wicked Temptress
31,Dock-Breaker
32,Accipiter
33,The Sea Maid
34,Spring's Kiss
35,Storm's Wrath
36,Uppertide
37,Poseidon's Witness
38,The Black Horizon
39,The Iron Tide
40,The Ingot
41,Jergal's Debtor
42,The Crusader
43,The Lich's Sorrow
44,The Death Cheater
45,The Far Roamer
46,The Aboleth's Dream
47,The Storm Stalker
48,The Antagonist
49,The Cuttlefish
50,The Winged Siren
51,Shorebreaker
52,Lady of Black Waters
53,The Slaughtered Brig
54,Righteous Indignation
55,Errant Venture
56,Victory
57,Interceptor
58,Divine Intervention
59,La Pucelle
60,The Skate
61,Two for Flinching
62,Kraken’s Kiss
63,Triton’s Bane
64,Waverunner
65,The Red Falchion
66,The Mayfly
67,The Busty Beluga
68,Mistral Secret
69,The Torrent
70,Black Budgie
71,The Silver Spur
72,The Seafoam Martyr
73,The Dynamo
74,The Brandywine
75,In Amber Clad
76,Misfit's Gamble
77,The Allswell Aboleth
78,Shoshanna
79,Kraken Bait
80,Storm Giants Wake
81,Eye of the Storm
82,The Wailing Wyvern
83,The Shooting Star
84,Blue Inferno
85,Astral Wake
86,Shadow Squall
87,Emerald Cutter
88,The Wraith
89,Hell's Requiem
90,The Omen
91,Crimson Tide
92,Willow
93,Jackdaw
94,The Fairweather Fortune
95,Caballero
96,Shy Mare
97,Neptune's Favor
98,Jupiter's Revenge
99,Humungous
100,The Killing Joke
