d100,Entry

1,"I once saw Gornak the Brave pick up the tavern and spin it around on the tip of his finger! When he set it back down and walked inside, he hadn't even spilled his beer."
2,"You ever heard of the man named miryks? He was the only man to have ever bedded a dragon, and then he bedded three more!"
3,"you ever hear of Ogrub the ogre? It's said that a magical artifact gave him a moral compass and he helped save a whole village, kept them all from drowning during the dam break, then he settled down as a farmer there for awhile. No one knows what happened to him after that."
4,"You ever heard of Fizziks the wealthiest goblin to ever live? It's said that he made his fortune following adventurers around and sneaking into the dungeons after they come back out, claiming anything valuable left behind. He supposedly has a knack for finding hidden doors and picking locks, and would find all kind of stuff stashed away that was missed."
5,"Ever heard about the dwarf-eating forest? I heard that the dwarves cut and chopped some roots under that region, not realizing it was still a live tree, and now any dwarf who happens in that forest is never seen again."
6,They say Marcol Giantsteppe built the mountains out of dragon bones to protect our little town.
7,"The Legend(s) of Kiven, Stupidest Man in All the Land. Once walked out of an inn and was unable to find his way back... Even from within sight of the inn itself. He drank an entire bottle of ink and promptly vomited. Did it again the next day. Learned the Shocking Grasp cantrip... and tested it on himself. He stole a Sending Stone from a fellow adventurer, and tried to sell it back to him. He frequently confuses cats for dogs, and vice versa."
8,"Have you heard the tail of Uthall Twice-Orphaned Thunukalathi? He was a Goliath who beat a storm giant in a wrestling match, and then proceeded to beat an empyrean in a body building contest."
9,"A long time ago, there was a gnoll woman named Cisathaka. She rejected her demonic heritage and entered an halfling beauty pageant, and won. She donated all the prize money to a struggling orphanage in (insert city name from the setting here)."
10,Ever heard of grüngle the filthy? He stunk so much that he once caused a rust monster to dissolve with a single breath.
11,"Just read the book “Praise the Great Beholder!”. It’s about Chezdrur the beholder, a flawless character who ends up easily killing the tarrasque in a great battle. It was written by a cult who worships Chezdrur, who is real but hasn’t even seen the tarrasque from afar."
12,"One winter it was so cold that the dawn froze solid. The sun normally rose between two mountains, but the ice had built up so much that it stuck firmly in place. The first sunbeams of the day had frozen up like golden icicles. A ranger named Dav Oket was coming home from a successful night hunting with a fresh owlbear. Seeing the sun frozen in place, and being a smart man, Dav knew he had to do something quickly or the world would plunge into chaos. He swiftly sprinted up the frozen sunbeams and used the heat of the owlbear carcass to melt the ice. Dav gave the sun a kick to dislodge it, lit his pipe on the sun, and slid down the sunbeams with the owlbear right to his front door. He even kept a bit of the sunrise in his pocket to remember the occasion."
13,"If you travel to Owlbear Lake on a quiet day, you might just catch a glimpse of The Monster. It looks like a great brown snake 90 feet long, with two huge ears coming out the sides of its head and jaws large enough to swallow a man in one gulp! Some say it has hundreds of small legs that make it kind of skitter across the ground, but it can swim faster than a horse can gallop. Sometimes it sneaks up on swimmers, and if it's not hungry it just pulls them under and lets them go. Of course old Dav Oket heard about this monster and bet his friends that he could take it on. After days of stalking, Dav finally had a shot with his bow. He was a crack shot, but not an arrow found its mark. The Monster scuttled forward and ate Dav's bow! So the ranger wrapped his arms around the beast and wrestled with it. The fight was so great, so colossal, that it stirred up a storm over the lake. Finally, Dav threw the Monster over his shoulder, and it sailed right over the mountain. To this day, you can cross the lake in safety if you call out, 'Old Dav's a-coming!' and the Monster swims away to the bottom of the lake."
14,Lady of Pain! The lady who had so many piercings and self inflicted curses she rattled and smoked with every movement.
15,"Have you heard the story of the great blind sorcerer? Prince of an elven kingdom, he killed three gods as a child and that was before he learned magic!"
16,"You haven't heard of Kim the Great and his stories? It is said that at the age of 9 he had slain a dragon alone to protect the people of his land, with his bare hands, using no magic. Out Great Leader Kim truly is a gift from the gods"
17,"Ebrius 'the drunk' once drank the entire ocean after his ale fell in it. Impressed by his resolution the gods proclaimed him the 'Lord of the drunkards'. It's true, you can ask him yourself, he's probably in the tavern right now. (Just has a godlike bluff, advantage if the person he's talking to is drunk too)."
18,"Centuries ago, there was a dark mage, Daffy, the Implacable. He summoned another moon, and named it Majorus. It was going to fall on the world, and destroy all of it, but it turned out the 'moon' was just too close, making it seem big. So, a group of adventurers threw fireballs at it, and Majorus burned down. Daffy was never seen again."
19,"There once was a boy, called Brightus. It's said he made a heavier-than-air machine, that could fly without magic. He rode what was called 'The Airplane' out of a cliff, as a crowd watched him fly it into the unknown. Legend says Brightus will one day return, giving flying machines to everyone."
