d100,Entry

1,You have become albino. You gain Sunlight Sensitivity and Superior Darkvision.
2,Your eyes developed a reflective tapetum lucidum and they glow like a cat's when light comes directly at you. Your dark vision is increased by 30 ft.
3,You have honed your other senses living in the bleakness so that you now have the Tremorsense ability out to 30 feet.
4,You can hear all heartbeats within ten feet of you.
5,"Your body sometimes stops producing heat, so your internal temperature slowly drops down toward ambient (but never so much that you would freeze). This cyclically reoccurring effect is only slightly discomforting but is liable to make anyone with thermal vision or who makes skin contact with you suspicious."
6,"You learned a trick from zombies: if you lose a limb or other body part, your body will happily accept a ""replacement part"" freshly removed from another humanoid. The part must be very similar to the one being replaced (e.g. a hand for a hand). Replantation may be achieved by holding the ends in place and magically regaining HP or taking a long rest while the ends are held together by tight wrappings or the like. The replaced part gradually changes appearance to match the rest of you. You occasionally suffer from the delusion that another creature's body part is actually yours and that you need to take it back and stick it on, after cutting off the wrong one you have currently, of course."
7,"Your severed limbs, if intact, will attempt to return you by the best and most expedient means available to them. They will then regraft onto your stumps. Your severed limbs are effectively autonomous creatures capable of devising simple plans that would aid them in returning to you, but they only care for getting back to you, not any other goals you might have. (No, you cannot cut your hand off and expect it to grab the big jewel you wanted from under the sleeping dragon.) You gain unusual resistance to damage and bleeding out that would otherwise be caused by severing your own limbs."
8,"You can easily bend and snap your bones internally and then restore them to their proper shapes without causing yourself lasting damage. Doing this makes loud horrible sounds and absolutely disgusts anyone watching you. You have a better chance of surviving high falls if you land feet first, you can pass through any space your head can fit in, and you are proficient in escaping bonds such as manacles. Any Necromancer who cultivates skeletons covets your body for their research. They will try to take you alive to distill the source of your skeletal power."
9,"A limb of yours is dead and mummified, cold and bloodless, but doesn't putrefy. It is animated by mysterious necrotic energies. You can control it but you don't feel any pain nor sensation from this limb, and you have trouble with precise motion or even knowing where it is if it's outside of your field of vision."
10,Your mouth movements no longer sync up with your speech.
11,"Your soul is more loosely tethered to your form, occasionally it will appear as an afterimage around you, and stay fixed for a moment while you move."
12,"You have grown much thinner, losing 6+2d6 pounds (medium creature) or 4+1d6 (small creature)."
13,"The ash of the drained Shadowfell dead clings to you. Like glitter, you can always seem to find some. You smell like ash too."
14,"Your breath is always visible, like on a cold day, regardless of temperature."
15,"When you exhale, your breath appears as black smog that seems to cling around you."
16,You have lost pigmentation to the extent that your skin is now transparent.
17,"Your body has lost all color - your skin, hair, eyes, etc. are all shades of grey now."
18,Your skin has become so pale that you can now easily see your now black veins through it.
19,Your head has developed a patch of hair which only grows white. The white patch turns its natural color during the full moon only.
20,Your hair turns into long tendrils of fragile bone and won’t grow back if lost
21,"When you get angry your eyes turn jet black, advantage on intimidation rolls when someone meets your gaze. and"
22,In full sun your pupils appear blood red.
23,"You see in monochrome, having all cone cells in your eyes turned into rods."
24,"One of your eyes is now completely black and overly sensitive to light, the other is normal. An eyepatch is recommended."
25,"You now have black irises, and whatever color your iris was, your pupil is now that color"
26,Your blood is a darker shade of red now.
27,"You no longer bleed red. Whenever you are cut, grey blood flows out."
28,"Your blood is now a mild poison. (You can coat weapons in it, it deters bloodsuckers, but may be a nuisance to healers trying to help you.)"
