d100,Entry

1,"A painting of the previous owners of the house. If you look at it out of the corner of your eye, you could swear that you saw them move."
2,"Old, rusted knife. Can be used a weapon. If it comes in contact with food, the food begins to rot."
3,"A mirror in the master bedroom that doesn't show your reflection, but the reflection of your previous life."
4,A cupboard that shakes if touched.
5,"A display case, full of shattered china."
6,"The handrails on the stairs look like clean wood, but if you touch them you feel something wet and sticky. Looking at your hands you see they are covered in blood."
7,"A mask that gives you tips in battle (+2 to attack rolls), but constantly rattles, making it terrible for stealth."
8,"A skeletal hand that follows you around, but only moves when your back is turned. You hear a strange skittering sound and might see movement out of the corner of your eye."
9,"A taxidermied pet cat in a curled up and napping position. But when you turn your back on it, it leaps at you."
10,"A tin for sweets/candy sits on a coffee stand. The hand of the last person to open the tin lays inside, bloody and nibbled on."
11,"The shutters are loose and bang against the window frame as the wind blows outside. Every time someone gets near to try and secure them, they bang shut and lock themselves, only to start flapping in the wind again as soon as that same person tries to walk away."
12,"A small drop of blood moves across the floor leaving behind a thin red line. No matter how far the small drop moves it never runs out of blood to leave behind. The small blood drop leads the party room to room, floor to floor."
13,"In random locations throughout the house you stumble across a recently lit cigar, sitting in an ash try, the corner of a mantle or an edge of a table."
14,"Musty moldy books on a broken shelf, but one is curiously untouched by age and mold."
15,Rotting dolls in a trunk. Touching them does 1d4 necrotic damage. Throwing them at people is mean.
16,A dress stand that whispers secrets of long lost owners. Where did she bury her gold?
17,"Curious stains on the kitchen floor and a bin full of bones. Don't move the bones... Oh, hello animated skeleton."
18,"A trapdoor that leads nowhere, just a brick wall."
19,Broken floorboards and a dusty spike trap that is half visible through them.
20,Strange collection of tiny colored glass bottles full of different liquids. One that makes you larger...
21,Cracked ceramic bowl of little bits of leather. They don't taste good.
22,Dog bones by a dusty bowl on the floor.
23,"Rotting curtains that rustle and move although there is no wind. Yeah, you should probably check behind them."
24,Iron cage with a big pile of chain next to it on the floor.
25,Nineteen knives stuck in the wall in a smiley face.
26,An old warlock spellbook that contains a random 2nd level warlock spell.
27,A painting of what looks like your adevturing party but with different Noble clothes one. (One of you are missing from the painting)
28,A message written in blood on the walls.
29,A pentagram drawn in chalk or blood with half melted candles at the points of the star.
30,Creepy spiderwebs everywhere.
31,"A diary of someone. It starts out fairly normal, but slowly descends into madness."
32,A broken brick wall. There is a skeleton inside the wall with lots of bloody scratches on the inside of the walls.
33,A door that opens into inky darkness.
34,A room with a collection of jars of strange creatures.
35,Several jars full of various herbs and spices. Everything seasoned with them tastes of dust and ashes.
