d100,Entry

1,Patches of red scales along the Tiefling's arms.
2,Tiefling's eye color is inverted in their reflections.
3,"Sheds skin once every 66 days, in the 6 days up to the molting the skin becomes gray and flakey, until it can be peeled off."
4,"Horns grow forever, and must be filed weekly before becoming heavy and hindering."
5,"Organs are reversed, pulse on right side etc. (I know that IRL the heart is in the center and only leaning left, suspend the disbelief please)."
6,"No nose, rather holes that expand and shrink like a snakes."
7,Smell with their (possibly forked) tongue.
8,Can't grow facial hair other than an ominous-looking goatee.
9,Can't lie while at least 25% submerged in a natural body of water.
10,"Sweat turns to steam immediately, although not boiling or even hot."
11,"Voice is a natural harmony, due to three sets of vocal chords."
12,"One hand has fingers with five sections each, the other has fingers with two sections each."
13,Their horns grow like the branches of a tree and split at the ends that need to be trimmed like a bonsai.
14,An insatiable lust for spicy foods.
15,"Sleep with eyes open and rolled back, snoring in ancient incantations."
16,"When sneezing, you briefly change appearance as if to polymorph into a demon or aberration of some sort."
17,Your tail acts in the same manner a cat's would.
18,"When inebriated instead of tripping over yourself or slurring your words, you gaze into nothing and whisper infernal phrases."
19,Tiefling's facial hair is constantly smoldering.
20,Tiefling's shadow is 3 times bigger than it should be.
21,Tiefling has multiple pupils and/or no irises.
22,Tiefling sees images of the Hells when looking through opaque translucent materials.
23,"Tiefling has a strong inclination towards formal speech, documentation, and formatting agreements/relationships as contracts."
24,Tiefling causes recently picked small vegetation to wilt immediately upon skin contact.
25,Tiefling is nearly/completely identical to parent of the same sex.
26,Tiefling derives a sense of comfort when faced with noticeable tension between two present parties.
27,Tiefling cannot blink or shed tears.
28,Tiefling has innate dislike of precise and/or complex geometric symbols.
29,"The Tiefling has two large horns, each of which has a red crystal carved/implanted into them."
30,"The tiefling's tongue is that of a serpent, giving their voice a hissing sound."
31,The tiefling's eyes burn with the fires of their demonic ancestry.
32,The tiefling is devilishly handsome.
33,An Abyssal Rune is scarred into their back.
34,"Tiefling can smell any holy water within 20 feet, it is mildly irritating to them."
35,"Tiefling's hands are backwards, their palms are where the backs of their hands should be."
36,Tiefling has spines like a porcupine's instead of head hair and facial hair.
37,Teeth are regenerative.
38,Sleeps hanging by tail like an opossum.
39,Only has 8 fingers (including thumbs).
40,Has two sets of eyelids.
41,Can control body temperature (dropping or increasing at will by several degrees).
42,Has a spellscar where sorcerers/wizards/warlocks can draw magical power from.
43,Is disgusted by anything not humanoid.
44,Breath smells like brimstone.
45,Covered with birthmarks shaped like infernal symbols.
46,Face always obscured in shadow.
47,Flames flicker across the back of the hands.
48,Each day a new tally mark scar appears on the skin.
49,Tiefling is blue and cold to the touch.
50,The tiefling's preferred sleeping spot is a burning coffin.
51,"Tiefling has tusks instead of fangs, almost like an orc's."
52,"Makes domesticated animals nervous--disturbs messenger pigeons in their roosts, sends cats yowling from the room, etc."
53,Has two little nubs on the shoulder blades where wings would ordinarily be.
54,"Infernal Shadow: this Tiefling's shadow has its own weight, even though slight, is noticeable by other creatures when it rests upon them."
55,"Antlers that grow like a wreath starting 2"" behind the ears moving forward."
56,The tiefling has pearly black skin with gold marble veins.
57,"Vertebrae are raised slightly, like pointed peaks."
58,"Secondary set of eyes set below a typical pair, one set for normal light, the second for darkvision."
59,Only sleeps standing up.
60,"‎Leaves behind brimstone soot on surfaces, especially in it's bed."
61,Spilled fresh blood is dark and gets brighter as it ages out of the body.
62,Hair flows and floats as if underwater.
63,‎Reflections are tripled.
64,‎Bones feel creaky under a full moon.
65,‎Four extra canine teeth on the top and bottom jaws.
66,Each step made on earth bare-footed leaves a charred footprint.
67,"Hundreds of healed gashes cover your back, Though you've never been whipped."
68,"You carve tiny apocryphal sigils into your skin with fingernails as you sleep. If someone with a mind for puzzles and a knowledge of infernal can decode the script, it will reveal a minor demon's true name."
69,"Your tail, if somehow detached from your body, will grow back in a month and a half, as the old one turns to a jagged obsidian, too brittle to work."
70,"The Tiefling's shadow shivers visibly, and sometimes twitches and jerks in an unnatural manner."
