d100,Entry

1,"Mordenkainen's Magnificent Malt: A beer with just a lower alcohol percentage, for the adventurer that expects he needs to be sober for the upcoming nights."
2,Mordenkainen's Malificent Malt: A beer with an alcohol percentage similar to that of whiskey that has its own plans for naive adventurers.
3,"Elven Absinthe: With an herbal taste, one can easily see why it is a popular drink among the elves. Drinkers take care, though, as it is much more potent than it seems."
4,"Underdark Ale: It isn’t really from the Underdark, but the brewers figured the name would be eye-catching (they weren’t wrong). It is a dark, potent Burton ale found in pretty much every tavern."
5,"Goodberry Sangria: Delicious, nutritious, and pricey, this sweet concoction is a fan favorite."
6,Devil's Blood Whiskey : Nobody knows whether there truly is devils' blood in this aged whiskey or not... but the feeling of fire in the chest definitely seems to support the claim.
7,Gore: Fermented pigs blood and cane sugar.
8,Iced Lager: From enchanted casks. Tastes as cool as the northlands.
9,Draconic Ale: A strong but rather basic ale; there are 10 additional varieties of it based on the chromatic and metallic dragons.
10,Red Draconic Ale: Infused with cinnamon; feel the burn.
11,Blue Draconic Ale: Infused with prickly pear cactus; causes slight static charge when drank.
12,"Green Draconic Ale: It feels like you're drinking straight poison, this ale is so strong."
13,Black Draconic Ale: Infused with various citrus to give it a slight acidity.
14,White Draconic Ale: Magically enchanted to stay close to the freezing temperature of water. You can feel it go all the way down.
15,Copper Draconic Ale: Infused with ginger; causes you to hiccup a few times.
16,Bronze Draconic Ale: Infused with coconut and pineapple. Smells like the sea.
17,Brass Draconic Ale: Infused with agave; makes you slightly sleepy.
18,"Silver Draconic Ale: More of a cider than an ale, it is magically enchanted to be the perfect temperature for the drinker. It is made using the finest apples."
19,"Gold Draconic Ale: Infused with cinnamon, little gold flakes can be seen floating within. Causes the drinker to belch small harmless flames for the next 5 minutes."
20,"Patrons Pint: A drink that shifts its type to correspond to the drinkers chosen patron/deity/inspiration. Dark ale with foam in the pattern of tentacles for a Great Old One, pale ale with an evershifting cloud for Archfey, and spiced mead with a bubbling fire at the base for the Fiend patron."
21,"Cave Breath Hard Whiskey: Of gnomish make. Gnomes don't do much alcohol, so when they do, you know they'll apply the same wacky engineering to make a bottle of essentially 50% rubbing alcohol and 50% gasoline that will 100% get you effed up."
22,"Bubblegut Ale: A dark, heavy brew with hints of clover. I bet you can't drink a pint without burping."
23,Frost Giant's Kiss: A chilled shot that leaves your breath frosty for 12 hours.
24,Red Fez: A heady palm wine brewed in the desert regions.
25,Tectlate: An ancient fermented corn drink. Based on a thousand year old recipe.
26,Miguelabu: It's a drink that is based off of Malibu but with an aasimar's twist.
27,Awakened Wine: A vineyard owned by a druid who cast Awaken on his vines. Claims it creates better wine when working with the plants input.
28,"Spore Wine: A svirfneblin wine made from crushed mushroom. Despite being considered top shelf due to its difficultly to obtain, most surface dwellers find it stomach turning. Definitely an acquired taste."
29,"Pixie Cider: Served by the teaspoon, this surprisingly potent drink leaves the drinker seeing stars and ""pixie dust"" trails behind all other creatures for 1d4 hours."
30,"Vegan Blood Wine: Wine that has been magically flavoured to taste like blood, for the socially conscious vampire."
31,"Zombie Whiskey: An out-of-touch elf decided the undead were ""in vogue"" this season and created this whiskey from grains soaked in rotting carcasses. Tastes absolutely awful but somehow leaves the drinker without a hangover."
32,"Jungle Juice: A spirit from Chult, made from berries grown wild in the jungles."
33,Ver-poo-th: A derogatory name for a vermouth from the moonshae isles that is made from cherries that have been eaten and defecated by a native tree cat.
34,"Orcish Rotgut: A surprisingly pleasant tasting, blood red alcoholic beverage, with secret ingredients that hide the fact that it's incredibly potent. Those particular ingredients do not sit well with non-orcish guts. Anyone drinking it that is not an orc or half-orc must make a DC 15 Constitution saving throw a half hour after drinking it (separate from any checks that might be made to resist intoxication). Failure means the drinker feels painful nausea for the following 12 hours, during which the drinker cannot benefit from short or long rests and suffers disadvantage on attack rolls, saving throws, and ability checks."
35,Korin's Dragonmint Mead: A delightfully light and crisp drinking mead that has a hint of herbal flavors and a tiny finish of mint. Tastes awful to paladins for some unknown reason.
36,"Kobold Kombucha: Comes in all the chromatic flavours, perfect for your hippie-dippie druids and teetotaler paladins."
37,"Rubyrump's Red Ale: Made with all the care and love you'd expect from a dwarf with the name Rubyrump. A warm inviting red ale with a smooth finish. A winking dwarf caricature with a foamy flagon and ""It'll put that ruby twinkle in yer eye"" written in bold yellow letter on the barrels, crates, bottles, limited edition flagons, etc."
38,Jotenhiem's Ringlefich Brandy: Suprise suprise. Who would have guessed some of the best brandy in the region comes from some very outlander-ish Dragonborn living in the mountains. A favorite and well kept secret amongst the locals of the area. Best served warmed and paired with aged goats cheese.
39,"Denurs Golden Ale: A light beer with moderate hoppy finish and a crisp mouthfeel with the smallest notes of hickory and rasberry. Simple enough to be enjoyed casually, but with just enough hidden suprises for a beer lover to find interesting."
40,Gerlach's Winery: A merlot grown by gnomes. They say the process with which they make this particular merlot is actually a secret formula locked away in a vault guarded by two ogres too dumb to read but too smart to turn down the gold the Gerlach family puts up for their services.
41,"Gentleman Jim's: The mass produced whiskey that comes from the city in large shipments. Straightfoward and simple, cheap but effective for livening up a party. The black bottle with flourishes on its print is easily recognized by whiskey savant and dullard alike."
42,"Shanty Shandy: Allows the drinker to ""see"" musical tunes hanging in the air. Taking a swig before dancing dramatically improves one's skills. Powerfully addictive to bards, as it connects them with music on an intimate level. Bards who imbibe will soon be unable to play without it."
43,"Goblin Gutrot: Brewed in a local cave by the smartest of goblins, this stuff is your one copper for two flaggons. It will destroy your liver, tastes like shit and may have negative impact on you from cave rot. But at 2 tankads minimum per copper, sometimes you just want to get drunk."
44,"Brandis' Brandy: Named after a famous pirate captain, this brandy is cut with seawater, and the barrels it is aged in are submerged in the sea for a year before it is served to the patrons."
45,"Stahn Brown Ale: A rich dwarven-brewed ale, dark in colour and very strong in flavour. Regular consumption results in an inability to feel the cold, refusal to wear a coat even when snowing, and an immense craving for finely sliced spiced lamb with salad on a flatbread."
46,"Rats Piss: Served in goblin bars exclusively, in a stitched-up ratskin. Extremely powerful drink. It is customary at goblin parties to ""drain the rat"" by squeezing the skin dry in one go, similar to doing a yardie at a 21st."
47,"Moody Cider: Made from the apples of treants. However they were feeling when the fruit was harvested is the emotion that the drinker will experience for the next hour. Every drink is a gamble! Exuberance, depression, fits of laughter, shyness, love, or confusion."
48,Ooze Bane: A brutally strong and rough spirit that doubles as a solvent for oozes and jellies!
49,"Choke Ale: A nearly undrinkable goblin beverage made from fermented garlic. It is traditionally served with chunks of garlic floating in the glass, hence the name."
50,"Gru'sh: Made of the bladders of large sea-life, this coastal inn sells this oily black beverage in large serving sizes. It is extremely potent, and had it not been for its fluidity, it would be extremely hard to keep down. If spilled, you must make a Dexterity DC10 Saving Throw to not slip on the tile it was dropped on or fall prone."
