d100,Entry

1,"Duster: Built to deliver goods through a massive, inhospitable desert. Duster’s metal skin is scored by years of travel, and his voice is dry and quiet. He has a fondness for animals and can be found in the company of a family of camels, who he travels with."
2,"Soot: A blacksmith’s assistant who works waist-deep in the fires of a furnace, shaping metal with his bare hands. Built of tough, black iron and covered in his namesake. Soot has a rascally sense of humor and loves heat and fire."
3,"Babble: An attempt at a mechanical jester, Babble has been relegated to life as a circus sideshow thanks to his repetitive jokes and groaning puns. He was once very fancifully decorated, and painted a faded, once-garish red and purple."
4,"Cognate: a wizard’s personal calculator and confidant, dressed in spartan robes and made of oak wood. Cognate has never spoken a word outside of its calculations and yet is the wizard’s closest friend."
5,"Sigmund: a warforged designed as a therapist for the unique psychological conditions of warforged who don't know what to do with their lives after the war. Has a... controversial theory that all warforged are secretly in love with the artificer who made them, but otherwise provides effective treatment."
6,"Wheat: built by a kindly old Dwarf Wizard who inherited a farm and needed a companion to make a proper go at farming. Used a LITTLE too much magic in their creation the dwarf was delighted to find Wheat could also summon fey spirits as helpers. The dwarf eventually passed, and now Wheat roams the countryside offering services and selling produce for coin so they can continue tending the farm until they can find the Dwarves next of kin."
7,"Hush: a small warforged made for tending to a library, they have long fingers and extending arms made for hushing library patrons and shelving books."
8,"Latch: a series of warforged made for tending entrances and opening them for travelers. they man gates, collect tolls, and give warnings of what’s on either side of the gate"
9,"CC: Surgeon. has needles, scalpel, etc. in his hands, and often tries to 'mend' his own skin, despite having none. Covered in needle scratch marks from trying to stitch these imaginary wounds."
10,Pugsy: Originally was a minor design deviation from a line of pugilist warforged. The idea was to create a non-combatant that could safely officiate the underground warforged fighting rings while dodging attacks. Pugsy was such a good referee that people began coming to her to solve their disputes. She has the voice of a domineering grandmother with no nonsense sensibilities. She has a small shop set up like a courtroom where people come to solve disputes that they don't want in an official court of law.
