d100,Entry

1,Hold it under flowing water for 30 minutes.
2,Hold it in direct moonlight for 30 minutes.
3,Yell at it in anger. (Charges twice as fast during combat.)
4,Whisper 'I love you' into it.
5,Throw it in the air as high as you possibly can.
6,"Treat it like the most begrudgingly accepted, and most hated object you have in your possession."
7,Pack it in the flesh of an undead creature.
8,Touch a demon with it.
9,Attach item to a string of three or five feet in length and wave in a circle overhead until string breaks.
10,Take a piece of shag carpet and rub the item until your hair stands on end or it sparks.
11,Soak it in Holy Water.
12,Heat in fire until hot to the touch.
13,Hug the item close and whisper to it as if a lvoer to 'please come back'. (Much better if sentient and is 'knockec out' when discharged.)
14,"Hold it out away from you until you feel the win take the item away, then chase and catch it back."
15,"Change something in the item for a different color. Example, change the handle wrapping for a differently dyed cord. You can't use the same color again for a week. (The item has a sense of fashion!)"
16,Play a one sided game of chance (Like craps) with the item siting on a chair across from you. It recharges if you win against it.
17,"The item recharges on its own but only if the users apologizes for harming people with it, or helps bury them if killed. If even one victim is left out, the item won't recharge unless the user begs mercy to it for an hour for each victim left behind."
18,"The item recharges after it hurts a dozen of people, with its magic or in some other way. Items that works by charges reload a charge for each person hurt."
19,Get an mundane item of the same type as the magical one and leave the two touching for 10 minutes. The same mundane item can't be used again.
20,"Shower or bath with the item at hand, equipped or sheated at your side."
21,Find a way to let the item make a decision for you and stick to it.
22,"Tell the item something you will never do with it, without noting it down, without repeating it and keep your word."
23,"You dream a name often. If you meet someone with that name, without saying a word, hold the item out to them to take it from you, don't resist if they do it. The item recharges at dawn and if it not with you, it appears on your bed."
24,"At any point in your day, put the item in your view and draw it along with the scenery and show the drawing to it."
25,Lay the item for the night with another item that needs to recharge. They both do so normally.
26,"Smash a coin with the item until it bends or breaks. Any old copper will do and the item suffers no damage from this, ever."
27,"When discharged, the item rusts. Let it steep in water and it will form a poisonus tea that causes nausea for an hour to you, and recharges when you drink it."
28,Try to seriously bite off a piece of the item.
29,Kiss someone while holding the item.
30,Trace it along a star constellation.
31,Whisper your deepest darkest desire into it.
32,Bury it and leave it undisturbed over night.
33,Cut of and tie a strand of hair around it.
34,Wear it close to your heart for a day.
35,Stab it into a recently killed body and let it drain the blood for 3 hours.
36,"Throw it as far as you can. Next time you setup camp, it returns to you."
37,Hold it without letting it go for 2 hours.
38,Carve the symbol of a Demon Lord into a surface. You take 1d4 psychic damage.
39,Get some one who doesn’t know it’s magical to kiss it.
40,Cook it over a flame.
41,Boil it in blood.
42,It only actually recharges if people become slightly uncomfortable with the lewd action that you are performing with it.
43,Cry upon the item.
44,Physically spin the item for 5 minutes.
45,Impress the item with a story of personal achievement.
