d100,Entry

1,"A tall and husky Gold Dragonborn, clad in bright colored and decorative clothing, sits on an equally ornate rug. He's fidgeting with something in his mouth. It's has a small garnet, chipped by his teeth and covered in spit. He has a small pouch in his vest full of these gross little gems. He sells very beautiful jewelry, thankfully with no bite marks."
2,"Two very young Halfling brothers are making dumplings. The dumplings are way too big even for a normal sized person, but they taste pretty good."
3,"A tiefling who's missing a tooth smiles quite charismatically. He's selling potions and poisons, but they're stored in old, reused liquor bottles. Kinda weird, but mostly harmless."
4,"This human-elf couple makes soap. They're super happy because of their soap, which is always enchanted into putting anyone who uses it into a good mood."
5,"This scrawny kobold is making guns. He loves his firearms to death, despite being too small to wield a majority of them. He just loves his craft."
6,"A bald, female wizard doesn't actually sell anything, but she enchants items for others. She also has a hairless cat, probably related to the same incident. She has looks that could kill, but she is super sensitive when someone brings up her lack of hair."
7,"A young, quiet librarian sits behind a desk reading a book. When the player gets closer, they notice that she's actually a centaur. She's quite dainty and gentle for her size."
8,"A disabled dwarf creates small trinkets from bed. His half human daughter takes care of him, but a network of clockwork beasts run his store front, taking care of sales and maintaining each other so they'll sell for a pretty penny. Rumors about him creating a chair with wheels are spreading, so he'll finally be mobile again."
9,"An unlikely pair of merchants run an apothecary, alternatingly with one working on baubles while the other deals with customers. The dwarf is a grumpy old man, nearly unapproachable, and usually berates his half-orc apprentice even when in front of the customers. When asked, he typically overprices and generally shuts down any attempts at haggling. The half-orc apprentice is suspicious and intimidating in appearance, and sound threatening when replying to his dwarf master, but is actually much more cordial to the customers and is more lenient when haggling. Both, however, like their beer."
10,A gnome tinker who has all kinds of different scrounged and jury-rigged magic items. He appears on his cart every couple hours until the party buys something.
11,"An aarakocra resembling a vulture who sells things he finds. By 'finds', he means he takes stuff off of dead bodies and whatever else he sees lying around. He'll sell random pieces of armor, weapons, books, and food he cooks himself with scavenged meats and the like. He's a great cook and a cynical old coot. His coyote & pepper stew is quite popular."
12,A thin man wearing a backpack seemingly too large to carry. Inside are various minor magic items which he sells as novelties to anyone with the cash to buy them. He is dressed in flamboyant clothing.
13,A homeless man gives advice on the town and strange trinkets in exchange for coin.
14,"A cheerful dragonborn who runs a sandwich shop in a tavern. He is obsessed with incredibly spicy food, and tries to push spices on customers to 'keep the fire burning in their stomachs'. Cooks all of his food with his breath weapon."
15,"A young half elf alchemist selling concoctions out of a small bag. Her accessories include a bandolier that holds different vials, leaf shaped earrings, and a purple headband. She promises that her creations work, however the shakiness of her voice don’t inspire confidence. She’ll get overly excited when she makes a sale."
16,"A scarred, brutish orc selling finely crafted jewelry. if engaged in conversation, he reveals that he only took up the barbaric ways of his people because of peer pressure. Eventually he went adventuring and then decided to pursue his lifelong hobby of crafting rings and necklaces and the like. His clan must believe he is long dead by now."
17,"A young human wizard, yet to lose his baby fat and with no sign of facial hair can provide advanced spell scrolls, but always refers to customers as 'youngster' or 'whippersnapper'. When asked about it, he becomes very upset, muttering about curses and kids not respecting their elders anymore."
18,"A old human luthier with a grey mustache and coke bottle glasses. He’s always working on something and refuses to look away from what he’s working on for more than a second. His teenaged son does most of the dealing, however he spend most of his time playing with the merchandise. The son will keep playing when spoken to and will inform everyone that his band is playing at the tavern that night. Before making any deal he will walk over and ask his father if the deal is fair."
